org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct:

	Lektion 1
		Verben
arbeiten | to work | працювати
gefährlich | dangerous | небезпечний
gesund | healthy | здоровий
gleich | equal; same | рівний; однаковий
heiß | hot | гарячий
krank | sick | хворий
kühl | cool | прохолодний
müde | tired | втомлений
nervös | nervous | нервовий
reich | rich | багатий
schlimm | bad; severe | поганий; серйозний
schwer | heavy | важкий
vorsichtig | cautious; careful | обережний
		Adverbien
bestimmt | definitely; certainly | безперечно; обов'язково
bloß | only; just | тільки; лише
einmal | once; one time | один раз; разом
genau | exactly; precisely | точно; вірно
häufig | often; frequently | часто; частково
höchstens | at most; maximum | максимум; найбільше
lange | long; lengthy | довго; тривалий
plötzlich | suddenly; abruptly | раптово; несподівано
täglich | daily; everyday | щоденно; кожен день
unbedingt | necessarily; absolutely | обов'язково; непремінно
wirklich | really; truly | дійсно; справді
		Funktionswörter
andere | other; different | інший; різний
so viel | so much; as much | так багато; стільки
über | over; above | над
		Ausdrücke
ein bisschen | a little bit | трохи; навіть
Sport treiben | to do sports | займатися спортом
zum Beispiel | for example | наприклад; для прикладу
	Lektion 7
		Verben
abfahren | depart; leave | від'їжджати; покидати
abholen | pick up | забирати
abstellen (ausmachen) | turn off | вимикати
ansehen | look at; watch | дивитися; глядіти
anstellen | hire; employ | наймати; займати на роботу
ausmachen | make out; turn off | вимикати; визначати
aussteigen | get off | виходити
ausziehen | take off | знімати
einsteigen | get on | сідати
fallen | fall | падати
geben | give | давати
gewinnen | win | вигравати
gießen | pour | лити
heiraten | marry | одружуватися
kennen lernen | get to know | познайомитися
kündigen | resign; terminate | звільняти; складати з посади
lassen | let; allow | дозволяти
malen | paint | малювати
merken | notice; realize | помічати; розуміти
operieren | operate | оперувати
parken | park | паркуватися
putzen | clean | прибирати
rufen | call; shout | викликати; кричати
sitzen | sit | сидіти
telefonieren | talk on the phone | розмовляти по телефону
tragen | wear; carry | носити
überlegen | consider; think over | розглядати; обдумувати
umziehen | move; relocate | переїжджати
vorbeikommen | come by; drop by | завітати; зайти
wecken | wake up | будити
wegfahren | drive away | виїжджати
		Nomen
die Adresse; -n | address | адреса
der April | April | квітень
der August | August | серпень
die Autobahn; -en | highway | автобан
die Bank; Bänke | bank | банк
der Bericht; -e | report | звіт
der Besuch; -e | visit | візит
die Blume; -n | flower | квітка
der Boden; Böden | ground; floor | ґрунт; поверхня
der Brief; -e | letter | лист
das Büro; -s | office | офіс
die Decke; -n | ceiling | стеля
der Dezember | December | грудень
das Fahrrad; Fahrräder | bicycle | велосипед
die Farbe; -n | color | колір
der Februar | February | лютий
die Freundin; -nen | girlfriend | дівчина
der Freund; -e | boyfriend | хлопець
die Haltestelle; -n | stop | зупинка
der Handwerker; ­ | craftsman | ремісник
die Heizung; -en | heating | опалення
die Jacke; -n | jacket | куртка
der Januar | January | січень
der Juni | June | червень
der Juli | July | липень
die Katze; -n | cat | кіт
der Kindergarten; -gärten | kindergarten | дитячий садок
der Knopf; Knöpfe | button | кнопка
das Loch; Löcher | hole | отвір
das Mädchen | girl | дівчина
der Mai | May | травень
der Maler; ­ | painter | художник
der Mann; Männer | man | чоловік
der März | March | березень
die Möglichkeit; -en | possibility | можливість
der November | November | листопад
der Oktober | October | жовтень
der Parkplatz; -plätze | parking lot | парковка
das Pech | bad luck | нещастя
die Polizei | police | поліція
die Polizistin; -nen | policewoman | поліцейська
der Polizist; -en | policeman | поліцейський
die Prüfung; -en | exam | екзамен
die Reise; -n | trip; journey | подорож
die Sache; -n | thing; matter | річ
die Schule; -n | school | школа
der September | September | вересень
die Stadt; Städte | city; town | місто
der Supermarkt; -märkte | supermarket | супермаркет
das Theater; - | theater | театр
die Treppe; -n | staircase | сходи
die Tür; -en | door | двері
der Unfall; Unfälle | accident | аварія
der Vater; Väter | father | батько
die Wand; Wände | wall | стіна
die Welt; -en | world | світ
die Weltreise | round-the-world trip | кругосвітнє подорожування
		Adjektive
falsch | wrong | неправильний
schrecklieh | terrible | жахливий
still | quiet | тихий
		Adverbien
allein | alone | самостійно
auf einmal | all at once | вдруге
außerdem | moreover | крім того
diesmal | this time | цього разу
einfach | simply | просто
gerade | just; straight | прямо
gestern | yesterday | вчора
letztes | last | минулий
selbstverständlich | naturally | звичайно
wieder | again | знову
wohl | probably | можливо
		Ausdrücke
Besuch haben | have a visit | мати візит
Bis bald! | See you soon! | До скорої зустрічі!
da sein | to be there | бути там
ein paar | a few | кілька
Grüß dich! | Hello! | Привіт!
Klar! | Clear! | Зрозуміло!
nach Hause | to home | до дому
Pech haben | to have bad luck | мати нещастя
verabredet sein | to be arranged | бути узгодженим
weg sein | to be away | бути далеко
	Lektion 8
		Verben
abheben | withdraw; lift | зняти; піднімати
besorgen | obtain; procure | отримувати; здійснювати покупку
einzahlen | deposit | внести
erledigen | complete; finish | завершити; виконати
fehlen | miss; lack | пропустити; відсутній
fliegen | fly | летіти
kaufen | buy; purchase | купувати
legen | place; lay | класти; розташовувати
reinigen | clean | чистити
reparieren | repair | ремонтувати
schicken | send | відправляти
stehen | stand | стояти
stellen | put; place | ставити; розміщувати
übernachten | stay overnight | переночувати
verwenden | use; utilize | використовувати
wechseln | change; exchange | змінювати; обмінювати
ziehen | pull; draw | тягти; малювати
zurückgeben | return | повертати
		Nomen
die Abfahrt | departure | відправлення
die Auskunft; Auskünfte | information | інформація
die Bäckerei; -en | bakery | пекарня
die Bahn | train; railway | поїзд; залізниця
das Brandenburger Tor | Brandenburg Gate | Бранденбурзька брама
die Briefmarke; -n | stamp | марка
die Buchhandlung; -en | bookstore | книгарня
der Bürger; ­ | citizen | громадянин
der Bus; -se | bus | автобус
das Ding; -e | thing; object | річ; предмет
die Ecke; -n | corner | кут
die/der Erwachsene; -n (ein Erwachsener) | adult | дорослий
(das) Europa | Europe | Європа
die Fahrkarte; -n | ticket | квиток
der Fahrplan; -pläne | timetable | розклад
die Fahrt; -en | journey; ride | подорож; поїздка
der Fernsehturm; -türme | TV tower | телевізійна вежа
der Flughafen; -häfen | airport | аеропорт
das Flugzeug; -e | airplane | літак
die Freiheit; -en | freedom | свобода
das Gebäude; ­ | building | будівля
das Interesse; -n | interest | інтерес
der Journalist; -en | journalist | журналіст
die/der Jugendliche; -n (ein Jugendlicher) | teenager | підліток
die Kirche; -n | church | церква
die Kleidung; ­ | clothing | одяг
der Krieg; -e | war | війна
der Künstler; ­ | artist | художник
der Mantel; Mäntel | coat | пальто
die Mauer; -n | wall | стіна
die Metzgerei; -en | butcher's shop | м'ясна крамниця
die Mitte | middle; center | середина; центр
das Museum; Museen | museum | музей
der Norden | north | північ
die Oper; -n | opera | опера
der Osten | east | схід
das Paket; -e | package; parcel | пакунок
der Park; -s | park | парк
der Pass; Pässe | passport | паспорт
der Platz; Plätze | square; plaza | площа
die Post | post office | пошта
das Rathaus; -häuser | town hall | ратуша
die Reinigung; -en | cleaning | чищення
der Rest; -e | rest; remainder | відпочинок; залишок
der Schalter; ­ | counter; desk | лавка; прилавок
der See; -n | lake; pond | озеро; став
der Sohn; Söhne | son | син
die Staatsoper | state opera | державна опера
der Stadtplan; -pläne | city map | мапа міста
der Süden | south | південь
der Teil; -e | part; portion | частина; частка
das Tor; -e | gate | ворота
der Turm; Türnle | tower | вежа
die Universität; -en | university | університет
die Wahl; -en | choice; election | вибір; вибори
der Weg; -e | way; path | шлях; дорога
der Westen | west | захід
das Zentrum; Zentren | center | центр
		Adjektive
arbeitslos | unemployed | безробітний
berühmt | famous | відомий; відома
deutsch | German | німецький
früher | former; earlier | колишній; раніше
sozial | social | соціальний
voll | full | повний
		Adverbien
anders | differently | по-іншому
geradeaus | straight ahead | прямо перед собою
links | left | ліворуч
rechts | right | праворуч
völlig | completely | повністю
weiter | further | далі
		Funktionswörter
bis zu | up to | до
so ... wie ... | as ... as | так ... як
über ... nach ... | over ... to | над ... до
von ... nach | from ... to | від ... до
		Ausdrücke
Gehen Sie weiter | Go straight ahead | Ідіть прямо
geradeaus. | to the end | до кінця
zum Schluss | finally | нарешті
	Lektion 9
		Verben
beraten | advise; consult | радити; консультувати
erklären | explain; clarify | пояснювати; уточнювати
sich freuen | rejoice; be glad | радіти; радуватися
gebrauchen | use; utilize | використовувати; застосовувати
gefallen | like; appeal | подобатися; сподобатися
lachen | laugh | сміятися; реготати
laufen | run | бігти; бігати
lieben | love | любити; кохати
nennen | call; name | називати; викликати
passen | fit; match | пасувати; відповідати
reichen | suffice; be enough | достатньо; вистачати
schenken | give; present | дарувати; подарувати
tragen | carry; wear | нести; носити
verkaufen | sell; vend | продавати; торгувати
verlassen | leave; abandon | залишати; покидати
zeigen | show; display | показувати; демонструвати
zusammengehören | belong together | належати разом; бути спільним
		Nomen
der Abschnitt; -e | section | розділ; відділ
die/der Bekannte; -n (ein Bekannter) | acquaintance | знайомий; знайома
die Beschäftigung; -en | employment | зайнятість; робота
das Camping | camping | кемпінг; відпочинок на природі
die CD; CDs | CD | диск; компакт-диск
die Chance; -n | chance | шанс; випадок
der Computer | computer | комп'ютер; комп
die Datei; -en | file | файл; документ
der Discman | Discman | дискмен; портативний плеєр
der DVD-Player | DVD player | програвач DVD; DVD-плеєр
die Erinnerung; -en | memory | пам'ять; спогад
die Feier; -n | celebration | святкування; вечірка
der Fernseher; ­ | television | телевізор
das Feuerzeug; -e | lighter | запальничка
der Führerschein; -e | driver's license | посвідчення водія; права
der Geburtstag; -e | birthday | день народження; свято
das Gerät; -e | device | пристрій; апарат
die Handtasche; -n | handbag | сумка; ручна сумка
die Hilfe; -n | help | допомога; допомагати
das Holz | wood | дерево; деревина
das Huhn; Hühner | chicken | курка; курятина
der Hund; -e | dog | собака; пес
die Information; -en | information | інформація; дані
die Ingenieurin; -nen | engineer (female) | інженер
der Ingenieur; -e | engineer (male) | інженер; технік
die Kette; -n | chain | ланцюг; крижаний
der König; -e | king | король; цар
die Kuh; Kühe | cow | корова; ковбаса
der Kunde; -n | customer | клієнт; покупець
Möbel (Plural) | furniture | меблі; обладнання
das Motorrad; -räder | motorcycle | мотоцикл
die Musikdatei | music file | музичний файл; аудіозапис
die Party; -s | party | вечірка; святкування
die Pfeife; -n | pipe | трубка
das Pferd; -e | horse | кінь; коня
das Rad; Räder | wheel | колесо; руль
der Reiseführer; ­ | travel guide | подорожній посібник; гід
der Ring; -e | ring | кільце; обруч
der Schlafsack; -säcke | sleeping bag | спальний мішок; ковдра
der Schluss | end | кінець; фінал
der Schmuck | jewelry | прикраси; ювелірні вироби
der Strom; Ströme | electricity | електрика; струм
die Tante; -n | aunt | тітка; тітонька
das Tier; -e | animal | тварина; звір
die Verkäuferin; -nen | saleswoman | продавщиця
der Verkäufer; - | salesman | продавець; менеджер
VideoPhone | VideoPhone | відеотелефон; відеозв'язок
(das) Weihnachten | Christmas | Різдво; Різдвяні свята
das Werkzeug | tool | інструмент; знаряддя
das Wörterbuch; -bücher | dictionary | словник; тлумачний словник
der Wunsch; Wünsche | wish | бажання; побажання
das Zelt; -e | tent | намет; палатка
		Adjektive
breit | broad; wide | широкий
dünn | thin | тонкий
kurz | short | короткий
lang | long | довгий
langsam | slow | повільний
lebendig | alive; living | живий
niedrig | low; short | низький
richtig | right; correct | правильний
schmal | narrow | вузький
schnell | fast; quick | швидкий
wunderbar | wonderful; marvelous | дивовижний
		Adverb
irgendwann | someday; sometime | колись; одного разу
		Funktionswörter
deshalb | therefore; that's why | тому що
selber | oneself | сам; собі
		Ausdrücke
gefällt mir | I like it | мені подобається; мені сподобалося
zu Ende (+Verb) | to the end (+Verb) | до кінця
	Lektion 10
		Verben
berichten | to report; to inform | повідомляти; інформувати
besichtigen | to visit; to sightsee | відвідувати; оглядати
bestehen (aus) | to consist (of); to be made (of) | складатися (з); бути зробленим (з)
erfinden | to invent; to devise | винаходити; знаходити
fließen | to flow | течі; розливатися
gehören | to belong | належати
wachsen | to grow | рости
wählen | to choose; to elect | вибирати; обирати
wandern | to hike; to trek | мандрувати; ходити в походи
		Nomen
die Arbeit; -en | work; job | робота; праця
das Ausland | abroad; foreign countries | за кордоном; закордоння
der Bach; Bäche | stream; brook | струмок; потік
der Bau | construction; building | будівництво; споруда
die Beamtin; -nen | civil servant (female); bureaucrat (female) | чиновниця; державний службовець
der Beamte; -n (ein Beamter) | civil servant (male); bureaucrat (male) | чиновник; державний службовець
der Berg; -e | mountain | гора
die Brücke; -n | bridge | міст
das Datum; Daten | date | дата
das Denkmal; Denkmäler | monument | пам'ятник
der Dialekt; -e | dialect | діалект
das Elektrogerät; -e | electrical appliance | електроприлад
das Ende; -en | end | кінець
die Firma; Firmen | company; firm | компанія; фірма
der Fluss; Flüsse | river; stream | річка; потік
das Gasthaus; -häuser | inn; tavern | гостьовий будинок; таверна
das Gebiet; -e | area; region | область; район
die Grenze; -n | border; boundary | кордон; межа
der Hafen; Häfen | port; harbor | порт; гавань
das Jahrhundert; -e | century | століття
der Kilometer; - | kilometer | кілометр
die Kirche; -n | church | церква
die Kneipe; -n | pub; bar | паб; бар
die Küste; -n | coast | узбережжя
Lebensmittel (Plural) | groceries | продукти харчування
der Meter; - | meter | метр
die Ministerin | minister (female) | міністр
der Minister; - | minister (male) | міністр
die Nation; -en | nation | нація
die Pension; -en | pension; retirement | пенсія; відпустка
die Politikerin; -nen | politician (female) | політик
der Politiker; - | politician (male) | політик
die Ruine; -n | ruin | руїна
die Schauspielerin; -nen | actress | акторка
der Schauspieler; - | actor | актор
die Schriftstellerin; -nen | female writer | письменниця
der Schriftsteller; - | male writer | письменник
die Sehenswürdigkeit; -en | tourist attraction | визначне місце; пам'ятка
der Sitz; -e | seat; headquarters | місце; штаб-квартира
die Sprache; -n | language | мова
der Staat; -en | state; nation | держава; нація
das Studium | study; studies | навчання; студії
der Tod | death | смерть
die Touristin; -nen | tourist (female) | туристка
der Tourist; -en | tourist (male) | турист
das Werk; -e | work; piece of work | робота; твір
das Zentrum; Zentren | center | центр
		Adjektive
blau | blue | блакитний
endgültig | final; ultimate | остаточний; остаточно
fertig | finished; ready | закінчений; готовий
international | international | міжнародний
offiziell | official | офіційний
tief | deep | глибокий
		Adverbien
damals | back then; at that time | тоді; тодішній
daher | therefore; hence | тому; отже
		Funktionswörter
darin | therein | у ньому; в цьому
		Ausdrücke
Passen Sie auf! | Be careful! | Будьте обережні!
das erste Mal | the first time | перший раз
