	Lektion 1
		Verben
andern | to change; to alter | змінювати
gar nichts | nothing at all | зовсім нічого; анічого
gegen Mittag | around noon | близько обіду; на обід
immer noch | still | все ще; все таки
jeden Tag | every day | кожен день; щодня
jedes Jahr | every year | щороку; щорічно
noch mehr | even more | ще більше; навіть більше
noch nicht | not yet | ще не
übrig bleiben | to be left over | залишатися; лишатися
von ... nach ... | from ... to ... | від ... до ...; з ... по ...
	Lektion 7
		Verben
beantragen | to apply | подавати заяву; звертатися
besorgen | to procure | дістати; забезпечувати
bestellen | to order | замовляти; замовлення
da sein | to to be | бути; існувати
denken | to think | думати; мислити
einigen | to agree | погоджуватися; домовлятися
einwandern | to immigrate | іммігрувати; переселятися
empfehlen | to recommend | рекомендувати; порадити
erkennen | to recognize | впізнавати; розпізнавати
erledigen | to accomplish | виконувати; завершувати
fahren | to drive | їхати; водити
fliegen | to fly | літати; польот
gelten | to apply | застосовувати; вважатися
gewöhnen | to get used to | звикати; призвичаювати
glauben | to believe | вірити; уявляти
klagen | to complain | скаржитися; жалітися
packen | to pack | пакувати; збирати
planen | to plan | планувати; план
reinigen | to clean | чистити; очищати
reisen | to travel | подорожувати; поїздка
reservieren | to reserve | бронювати; резервувати
retten | to rescue | рятувати; порятунок
steigen | to climb | підніматися; збільшувати
üben | to practice | практикувати; вправа
untersuchen | to examine | вивчати; обстежувати
verlassen | to leave | залишати; виходити
vorschlagen | to suggest | пропонувати; порадити
waschen | to wash | мити; прання
wiegen | to weigh | важити; зважувати
zumachen | to close | закривати; зачиняти
		Nomen
die Änderung; -en | change | зміна; змінити
die Apotheke; -n | pharmacy | аптека; фармація
die Art; -en | type | вид; тип
das Ausland | abroad | за кордоном; зарубіжжя
der Ausländer; - | foreigner | іноземець; іммігрант
der Ausweis; -e | identification | ідентифікація; паспорт
die Bahn; -en | railway | залізниця; поїзд
der Bauer; -n | farmer | фермер; селянин
die Bedeutung; -en | meaning | значення; смисл
die Bedienung; -en | service | обслуговування; послуга
die Besitzerin; -nen | owner | власник; власниця
das Betttuch; -er | bedsheet | простирадло; постільна простирадло
das Blatt; -er | sheet | аркуш; лист
der Bleistift; -e | pencil | олівець; карандаш
die Briefmarke; -n | stamp | марка; поштова марка
die Buchhandlung; -en | bookstore | книгарня; книжковий магазин
das Camping | camping | кемпінг; відпочинок на природі
(s) Deutschland | Germany | Німеччина
die Diskussion; -en | discussion | обговорення; дискусія
die Drogerie; -n | drugstore | аптека; дрогерія
das Einkommen; - | income | дохід; дохідність
die Erfahrung; -en | experience | досвід; враження
die Fahrkarte; -n | ticket | квиток; квитанція
der Fahrplan; -e | timetable | розклад; графік
das Fenster; - | window | вікно; віконний
der Flug; -e | flight | рейс; польот
der Flughafen; - | airport | аеропорт; аеродром
das Flugzeug; -e | airplane | літак; повітряне судно
der Fotoapparat; -e | camera | камера; фотоапарат
die Fremdsprache; -n | foreign language | іноземна мова; мова
die Freundschaft; -en | friendship | дружба; товариство
der Gast; -e | guest | гість; відвідувач
das Gefühl; -e | feeling | почуття; відчуття
das Handtuch; -er | towel | рушник; рушники
die Heimat | homeland | батьківщина; рідний край
das Hotel; -s | hotel | готель; готельний номер
die Jugendherberge; -n | youth hostel | молодіжний гуртожиток; хостел
der Kaffee | coffee | кава; кавовий напій
die Kellnerin; -nen | waitress | офіціантка; сервіторка
der Koffer; - | suitcase | валіза; чемодан
der Kontakt; -e | contact | контакт; зв'язок
der Krankenschein; -e | sick note | лікарняний; медична довідка
der Lehrling; -e | apprentice | учень; стажер
das Licht; -er | light | світло; лампа
die Liste; -n | list | список; перелік
das Medikament; -e | medication | ліки; медикамент
die Mode; -n | fashion | мода; стиль
die Natur | nature | природа; натура
der Pass; -e | passport | паспорт; документ
das Pech | bad luck | нещастя; неудача
die Pension; -en | pension | пенсія; гостьовий будинок
das Pflaster | plaster | пластир; лейкопластир
die Presse | press | преса; прес
die Regel; -n | rule | правило; правила
die Reise; -n | trip | подорож; поїздка
das Salz | salt | сіль; солі
der Schirm; -e | umbrella | парасолька; зонт
der Schlüssel; - | key | ключ; ключик
der Schweizer; - | Swiss | швейцарський; швейцар
die Schwierigkeit; -en | difficulty | складність; трудність
die Seife; -n | soap | мило; мильниця
das Streichholz; -er | match | сірник; спічка
die Tasche; -n | bag | сумка; торба
das Telefonbuch; -er | telephone directory | телефонний довідник; довідник
der Tourist; -en | tourist | турист; туристичний
die/der Verwandte; -n (ein Verwandter) | relative | родич; родинний
das Visum; Visa | visa | віза; візовий
die Wasche | laundry | прання; білизна
die Zahnbürste; -n | toothbrush | зубна щітка; щітка для зубів
die Zahnpasta; -pasten | toothpaste | зубна паста; паста для зубів
der Zweck; -e | purpose | мета; ціль
		Adjektive
amerikanisch | American | американський; американець
berufstätig | employed | зайнятий; працюючий
durstig | thirsty | спраглий; хотіли би пити
eben | just | тільки; лише
notwendig | necessary | необхідний; обов'язковий
sozial | social | соціальний; суспільний
vorig- | previous | попередній; минулий
zuverlässig | reliable | надійний; вірний
		Adverbien
also | outside | ззовні; за межами
außerhalb | finally | нарешті; врешті-решт
endlich | at most | в найгіршому випадку; максимум
höchstens | usually | зазвичай
normalerweise oben | above | вище
raus | out | зовні; назовні
überhaupt | at all | зовсім; взагалі
unten | below | нижче; пониження
zurück | back | назад; спина
		Funktionsworter
alles | everything | все; всі
damit | so that | так щоб; щоб
daran | about it | про це
darauf | on it | на ньому
derselbe | the same | такий самий; той же самий
in | in | у; в
nicht nur ... sondern auch … | not only ... but also ... | не тільки ... але й ...; не тільки ... але і ...
ob | whether | чи
sondern | but | але
sowohl ... als auch ... | both ... and ... | як ... так і ...; як ... так і ...
um ... zu ... | in order to | для того щоб; з метою
weder ... noch ... | neither ... nor ... | ані ... ані ...; ані ... ані ...
wer | who | хто
woher | where from | звідки
wohin | where to | куди
zwar ... aber ... | although ... but ... | хоча ... але ...; хоча ... але ...
		Ausdrucke
Angst haben | to be afraid | боятися; побоюватися
dafür sein | to be for | бути за; підтримувати
die Prüfung bestehen | to pass the exam | складати іспит; успішно складати
ein paar | a couple of | кілька; декілька
ernst nehmen | to take seriously | серйозно ставитися; узяти серйозно
für ... sein | to be for | бути за; підтримувати
genau das | exactly that | саме так; точно так
immer mehr | more and more | все більше і більше; дедалі більше
immer wieder | again and again | знову і знову; повторно і повторно
noch etwas | something else | ще щось; інше
noch immer | still | все ще
nur noch | only | тільки; лише
vorbei sein | to be over | бути закінченим; закінчитися
was für | what kind of | який; якого виду
wie Groß | how big | як великий; наскільки великий
	Lektion 8
		Verben
annehmen | to assume | припускати; приймати
begleiten | to accompany | супроводжувати; супроводити
beschließen | to decide | вирішувати; приймати рішення
demonstrieren | to demonstrate | демонструвати; проводити демонстрацію
entscheiden | to decide | вирішувати; приймати рішення
entschließen | to decide | вирішувати; приймати рішення
erinnern | to remember | пам'ятати; нагадувати
erreichen | to achieve | досягати; здійснювати
folgen | to follow | слідувати; переслідувати
fordern | to demand | вимагати; запитувати
führen | to lead | вести; керувати
gewinnen | to win | перемагати; вигравати
nennen | to call | викликати; кричати
öffnen | to open | відкривати; відчиняти
rufen | to call | викликати; кричати
schließen | to close | закривати; зачиняти
streiken | to strike | страйк; бастувати
unterschreiben | to sign | підписувати; підписати
verreisen | to travel | подорожувати; виїжджати
wählen | to choose | вибирати; обирати
		Nomen
die Armee; -n | army | армія; військо
der Aufzug; -e | elevator | ліфт; підйомник
die Ausreise | departure | виїзд
der Bau | construction | будівництво; конструкція
der Beginn | beginning | початок
der Briefumschlag; -e | envelope | конверт; поштова оболонка
der Bund | union | союз; об'єднання
der Burger; - | citizen | громадянин; бургер
der Bus; -se | bus | автобус; маршрутка
die DDR | GDR (German Democratic Republic) | НДР (Німецька Демократична Республіка); НДР
die Demokratie; -n | democracy | демократія; республіка
die Demonstration; -en | demonstration | демонстрація; мітинг
die Deutsche Demokratische Republik | German Democratic Republic | Німецька Демократична Республіка; НДР
der Dienstag | Tuesday | вівторок
die Diktatur; -en | dictatorship | диктатура; тирания
der Einfluss; -e | influence | вплив
der Empfang; -e | reception | прийом
das Ende; -n | end | кінець
das Ereignis; -se | event | подія; захід
die Fabrik; -en | factory | фабрика; завод
der Fahrer; - | driver | водій
das Feuer | fire | пожежа; вогонь
der Fotograf; -en | photographer | фотограф
die Frage; -n | question | питання; запитання
der Friede | peace | мир; спокій
das Geschäft; -e | business | бізнес; справа
die Geschichte | history | історія
die Gesellschaft | society | суспільство; громада
die Gruppe; -n | group | група
das Hochhaus; -er | skyscraper | хмарочос; вежа
der Juli | July | липень
das Kabinett; -e | cabinet | кабінет; шафа
die Katastrophe; -n | catastrophe | катастрофа; лихо
das Knie; - | knee | коліно
die Koalition; -en | coalition | коаліція; союз
die Konferenz; -en | conference | конференція; збори
der König; -e | king | король; цар
die Königin; -nen | queen | королева; царина
das Krankenhaus; -er | hospital | лікарня; госпіталь
der Krieg; -e | war | війна
die Krise; -n | crisis | криза
die Macht | power | потужність; енергія
die Mauer; -n | wall | стіна; мур
der Minister; - | minister | міністр
das Mitglied; -er | member | член; учасник
die Nachricht; -en | message | повідомлення; новина
der November | November | листопад
der Oktober | October | жовтень
die Operation; -en | operation | операція; дія
die Opposition | opposition | опозиція; протистояння
der Ort; -e | place | місце
das Päckchen; - | parcel | пакунок; пакет
das Paket; -e | packet | пакунок; пакет
das Parlament; -e | parliament | парламент; верховна рада
die Partei; -en | party | партія; вечірка
die Politik | politics | політика
die Post | post | посада; пошта
der Präsident; -en | president | президент; глава держави
der Protest; -e | protest | протест; протестувати
das Rathaus; -er | town hall | ратуша; міська рада
der Raucher; - | smoker | курця; курець
die Reform; -en | reform | реформа; реформувати
die Regierung; -en | government | уряд
das Schloss; -er | castle | замок; палац
die Seite; -n | page | сторінка
der Sonntag; -e | Sunday | неділя
der Sozialdemokrat; -en | social democrat | соціал-демократ; соціал-демократ
der Sportplatz; -e | sports field | спортивне поле; стадіон
der Staat; -en | state | держава; стан
das Stadion; Stadien | stadium | стадіон; арена
die Straßenbahn; -en | tram | трамвай
der Streik; -s | strike | страйк
das System; -e | system | система; устрійство
die Uhr; -en | clock | годинник
die Umwelt | environment | навколишнє середовище; середовище
das Unglück | misfortune | нещастя
der Unterschied; -e | difference | різниця; відмінність
die Verfassung | constitution | конституція
die Verletzung; -en | injury | травма; поранення
das Volk; -er | people | люди; народ
der Vorschlag; -e | proposal | пропозиція
die Wahl; -en | election | вибори; голосування
der Weg; -e | way | спосіб; шлях
(das) Weihnachten | Christmas | Різдво
die Welt; -en | world | світ; всесвіт
der Weltkrieg; -e | world war | світова війна; Велика війна
die Zahl; -en | number | номер; число
die Zeitung; -en | newspaper | газета
das Ziel; -e | goal | мета; ціль
der Zoll | customs | митниця; мито
		Adjektive
ausländisch | foreign | іноземний; зовнішній
dankbar | grateful | вдячний
demokratisch | democratic | демократичний
eng | tight | тісний; затягнутий
enttäuscht | disappointed | розчарований
international | international | міжнародний
kapitalistisch | capitalist | капіталістичний
kommunistisch | communist | комуністичний
leer | empty | порожній
liberal | liberal | ліберальний; вільний
national | national | національний
politisch | political | політичний
sozialdemokratisch | social democratic | соціал-демократичний; соціал-демократичний
sozialistisch | socialist | соціалістичний
verletzt | injured | травмований; пошкоджений
völlig | completely | повністю; цілком
wahrscheinlich | probably | мабуть; можливо
westlich | western | західний
wirtschaftlich | economic | економічний
		Adverbien
allerdings | however | проте; однак
beinahe | almost | майже; практично
bisschen | bit | трохи; дещо
lange | long | довго; тривалий
noch | still | все ще
		Funktionsworter
außer | except | крім; окрім
gegen | against | проти
jedoch | however | однак
ohne | without | без
wahrend | while | поки; під час
wegen | because of | через
		Ausdrücke
ein Gespräch führen | to have a conversation | вести розмову; спілкуватися
immer großer | more and more | все більше; ще більше
noch großer | even bigger | ще більший; навіть більше
vor allem | above all | переважно; особливо
wie oft | how often | як часто; скільки разів
	Lektion 9
		Verben
aufgeben | to give up | здатися; відмовлятися
ausziehen | to move out | виїжджати; переїжджати
backen | to bake | пекти; випікати
beeilen | to hurry | поспішати; торопитися
bieten | to offer | пропонувати; запропонувати
danken | to thank | дякувати; вдячний
einfallen | to occur | приходити на думку; спадати на думку
gehören | to belong | належати; бути власністю
holen | to fetch | принести; забирати
regieren | to govern | управляти; правити
schicken | to send | відправляти; посилати
treffen | to meet | зустрічатися; зустрічати
umziehen | to move | переїжджати; рухатися
verabreden | to arrange | домовлятися; узгоджувати
verwenden | to use | використовувати; застосовувати
vorbeikommen | to come by | завітати; приходити
wandern | to hike | ходити в похід; мандрівка
warten | to wait | чекати; зачекати
wünschen | to wish | бажати; побажання
		Nomen
(das) Afrika | Africa | Африка
der Anfang; -e | beginning | початок
die/der Angehörige; -n (ein Angehöriger) | relative | родич; член родини
der Aufenthalt; -e | stay | перебування; проживання
die Backerei; -en | bakery | пекарня; булочна
die Bedingung; -en | condition | умова; стан
das Bett; -en | bed | ліжко; постіль
die Bevölkerung | population | населення; мешканці
die Bibliothek; -en | library | бібліотека; книгозбірня
der Blick; -e | view | вид; погляд
die Bürste; -n | brush | щітка для волосся
die Erinnerung; -en | memory | пам'ять; спогад
das Fahrrad; -er | bicycle | велосипед; колесо
die Freiheit; -en | freedom | свобода; воля
das Gluck | happiness | щастя; радість
der Handwerker; - | craftsman | ремісник; майстер
das Heim; -e | home | дім; житло
die Hilfe; -n | help | допомога; поміч
der Hof; -e | yard | подвір'я; двір
das Holz | wood | дерево; деревина
die Idee; -n | idea | ідея; думка
das Interesse; -n | interest | інтерес; зацікавленість
die/der Jugendliche; -n (ein Jugendlicher) | youth | молодь; юність
der Junge; -n | boy | хлопець; хлопчик
die Kirche; -n | church | церква; костьол
der Kuchen; - | cake | торт; пиріг
der Kugelschreiber; - | pen | ручка; олівець
die Lage; -n | location | місце; розташування
die Liebe | love | любов; кохання
das Messer; - | knife | ніж; кухонний ніж
das Mabel; - | furniture | меблі; обладнання
der Moment; -e | moment | момент; час
das Museum; Museen | museum | музей; музейний заклад
die Nachbarin; -nen | neighbor | сусід; сусідка
die Nahe | proximity | близькість; наближеність
das Paar; -e | couple | пара; дует
das Regal; -e | shelf | полиця; шафа
die Rente; -n | pension | пенсія; відпустка
der Schluss | end | кінець; завершення
das Schwimmbad; -er | swimming pool | басейн; плавальний басейн
die Steckdose; -n | socket | розетка; гніздо
der Tanz; -e | dance | танець; танцювати
der Tanzer; - | dancer | танцюрист; танцівниця
die Tätigkeit; -en | activity | діяльність; активність
der Tod | death | смерть; загибель
die Toilette; -n | toilet | туалет; санвузол
die Veranstaltung; -en | event | подія; захід
der Verein; -e | association | об'єднання; асоціація
das WC; -s | WC | туалет; уборна
das Werkzeug; -e | tool | інструмент; знаряддя
		Adjektive
besonder- | special | особливий; спеціальний
ernst | serious | серйозний; важливий
evangelisch | evangelical | євангельський; проповідницький
hell | bright | яскравий; світлий
lieb | dear | дорогий; милий
modern | modern | сучасний; модерний
nächst- | next | наступний; наступної
offenbar | apparently | очевидно; здається
privat | private | приватний; особистий
schnell | fast | швидкий; швидко
schrecklich | terrible | жахливий; страшний
ständig- | constant | постійний; сталі
		Adverbien
bald | soon | скоро; незабаром
bitte | please | будь ласка; просимо
da | there | там; туди
doch | yet | все ще; ще
eigentlich | actually | фактично; насправді
einmal | once | один раз; колись
erst | first | спочатку; першим
genug | enough | достатньо
heute | today | сьогодні; сьогоднішній день
inzwischen | meanwhile | тим часом; між тим
mal | once | один раз; колишній
natürlich | naturally | звичайно; природно
nein | no | ні; не
selber | yourself | сам; власноруч
so | so | так; отже
sogar | even | навіть якщо
vorher | beforehand | заздалегідь; перед тим
wirklich | really | справді; дійсно
wohl | well | добре; нормально
		Funktionsworter
ab | off | від; з
bei | at | на; в
beide | both | обидва; обоє
bevor | before | перед; до
einer | one | один; одна
etwas | something | щось; що-небудь
neben | beside | поруч; біля
		Ausdrücke
allein bleiben | stay alone | залишатися самим
gar nicht | not at all | зовсім не
Gott sei Dank | thank God | слава Богу
nicht ganz | not entirely | не зовсім
noch mal | again | ще раз; знову
von Beruf sein | by profession | за фахом; професійно
zu Fuß | on foot | пішки
	Lektion 10
		Verben
atmen | to breathe | дихати
aufmachen | to open | відкрити; відчинити
bauen | to build | будувати; створювати
beschreiben | to describe | описувати; характеризувати
bleiben | to stay | залишатися; залишитися
einschlafen | to fall asleep | засинати; засипати
essen | to eat | їсти; харчуватися
fallen | to fall | падати; впасти
fehlen | to miss | пропускати; відсутній
heben | to lift | піднімати; підіймати
kommen | to come | приходити; приїжджати
laufen | to run | бігти; бігати
lesen | to read | читати; прочитати
liegen | to lie | лежати; бути розташованим
merken | to notice | помічати; зауважити
mögen | to like | подобатися; любити
nahen | to sew | шити; сорочку
nehmen | to take | брати; взяти
ordnen | to arrange | організовувати; упорядковувати
schenken | to give | давати; подарувати
schütten | to pour | наливати; розливати
sehen | to see | бачити; побачити
springen | to jump | стрибати; стрибнути
stehen | to stand | стояти
stellen | to put | покласти; поставити
tragen | to carry | нести; переносити
tun | to do | робити; виконати
verändern | to change | змінювати; зміна
wohnen - | to live | жити; проживати
zahlen | to pay | платити; оплатити
		Nomen
der Abend; -e | evening | вечір; вечірка
das Alter | age | вік; старість
die Arbeiterin; -nen | worker (female) | працівниця; робітниця
der August | August | серпень; август
die Autorin; -nen | author (female) | авторка; письменниця
die Badewanne; -n | bathtub | ванна кімната
die Bank; -e | bank | банк; у берега
die Bäuerin; -nen | farmer (female) | фермерка; селянка
das Bier; -e | beer | пиво; пивниця
die Blume; -n | flower | квітка
das Blut | blood | кров; кровотеча
das Boot; -e | boat | човен; лодка
der Brief; -e | letter | лист; поштова відправка
das Brot; -'e | bread | хліб; печиво
die Brust; -e | chest | груди; грудка
das Buch; -er | book | книга
der Dezember | December | грудень
das Ding; -e | thing | річ; предмет
die Erlaubnis | permission | дозвіл
das Essen | food | їжа; харчі
der Fisch; -e | fish | риба; риболовля
die Freude; -n | joy | радість; задоволення
das Frühstück | breakfast | сніданок
der Garten; - | garden | сад; город
das Gedicht; -e | poem | вірш; поезія
das Gemüse | vegetable | овоч; овочі
das Glas; -er | glass | скло; склянка
das Gras | grass | трава
die Hand; -e | hand | рука
die Hausfrau; -en | housewife | домогосподиня; господиня
das Herz; -en | heart | серце
der Hund; -e | dog | собака; пес
der Hunger | hunger | голод
die Kartoffel; -n | potato | картопля
die Katze; -n | cat | кіт; кішка
das Lebensmittel; - | grocery | продуктовий магазин; продукти
die Leute (Plural) | people | люди; народ
das Mehl | flour | борошно; мука
der Mensch; -en | human | людина
die Milch | milk | молоко
das Militär | military | військовий; армія
die Nacht; -e | night | ніч; ночі
der Name; -n | name | ім'я; назва
der Nationalsozialist; -en | National Socialist | Націонал-соціалістичний
der Nazi; -s | Nazi | ; нацистський
das Obst | fruit | фрукт
der Raum; -e | space | простір; кімната
das Rezept; -e | recipe | рецепт
der Roman; -e | novel | роман
der Satz; -e | sentence | речення
das Schwein; -e | pig | свиня
der Soldat; -en | soldier | солдат
die Stadt; -e | city | місто
die Stunde; -n | hour | година
die Suppe; -n | soup | суп
der Tipp; -s | tip | порада; підказка
der Titel; - | title | заголовок
die Tür; -en | door | двері
das Vieh | cattle | худоба
der Vogel; - | bird | птах
die Wand; -e | wall | стіна
die Wolke; -n | cloud | хмара
		Adjektive
amtlich | official | офіційний
breit | broad | широкий
bunt | colorful | кольоровий; різнобарвний
einzig- | unique | унікальний; єдиний
frisch | fresh | свіжий
ganz | whole | цілий; повний
geboren | born | народжений
gerade | straight | прямий; рівний
hart | hard | твердий; складний
häufig | frequent | частий; постійний
krank | sick | хворий
laut | loud | голосний; шумний
müde | tired | втомлений
offiziell | official | офіційний
sauer | sour | кислий
tief | deep | глибокий
weiblich | female | жіночий
		Adverbien
anders | different | різний; інший
auerdem | also | також
daher | therefore | отже; тому
diesmal | this time | на цей раз
dort | there | там
drinnen | inside | всередині
gestern | yesterday | вчора
hier | here | тут
hin- | to | до; на
morgens | in the morning | вранці
nun | now | зараз; тепер
schon | already | вже
selbst | self | сам; саме
wieder | again | знову
zusammen | together | разом
		Funktionsworter
als | as | як; якщо
an | on | на; при
ander- | other | інший
aus | from | з; від
bis | until | до; поки
hinter | behind | позаду; за
jemand | somebody | хтось; кожен
nach | after | після того як
nichts | nothing | ніщо; нічого
niemand | nobody | ніхто
oder | or | або
und | and | і
unter | under | під час
von | of | з; від
wo | where | де
zu | to | до; за
		Ausdrücke
fertig sein | to be ready | бути готовим
Leid tun | to be sorry | шкодувати
nicht genug | not enough | недостатньо
nicht mehr | no longer | вже не
