org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct::Themen+Aktuell+3

	Lektion 1
		Verben
ärgern | annoy | обурювати; дратувати
vorschlagen | to suggest; to propose | пропонувати; запропонувати
zahlen | to pay; to count | платити; оплачувати
zumachen | to close; to shut | закривати; зачинити
		Nomen
das Angebot; -e | offer | пропозиція; пропозиції
die Bedeutung; -en | meaning | значення; сенс
der Bleistift; -e | pencil | олівець; олівці
die Bluse; -n | blouse | блузка; блузи
die Briefmarke; -n | stamp | марка; марки
der Briefumschlag; -e | envelope | конверт; конверти
die Dose; -n | can | банка; банки
der Enkel; - | grandson | онук; онуки
die Fabrik; -en | factory | фабрика; завод
das Gas; -e | gas | газ; гази
die Gastfamilie; -n | host family | сім'я господаря; гостьова родина
das Geburtsdatum; -daten | date of birth | дата народження
das Gefühl; -e | feeling | почуття; відчуття
die Geldbörse; -n | wallet | гаманець; гаманці
das Geschäft; -e | shop | магазин; магазини
das Geschenk; -e | gift | подарунок; подарунки
das Gesetz; -e | law | закон; закони
das Gewitter; - | thunderstorm | гроза; грози
die Gitarre; -n | guitar | гітара; гітари
die Heimat; -en | homeland | батьківщина; рідний край
der Hof; -e | courtyard | подвір'я; двір
die Jacke; -n | jacket | куртка; куртки
der Kassenzettel; - | receipt | квитанція; чек
die Konferenz; -en | conference | конференція; конференції
die Kundennummer; -n | customer number | номер клієнта; номери клієнтів
der Kuss; -e | kiss | поцілунок; поцілунки
der Laden; - | store | магазин; магазини
die Landschaft; -en | landscape | ландшафт; пейзаж
das Leder; - | leather | шкіра; шкіри
die Liebe | love | любов; кохання
der Marktpreis; -e | market price | ринкова ціна; ціни на ринку
die Meinung; -en | opinion | думка
das Netz; -e | net | мережа
der Ofen; - | oven | духовка; піч
die Panne; -n | breakdown | поломка; аварія
das Papier; -e | paper | папір; папери
der Pullover; - | sweater | светр; светри
der Regen | rain | дощ; дощі
der Rock; -e | skirt | спідниця; спідниці
das Salz; -e | salt | сіль; солі
der Sanger; - | singer | співак; співаки
der Schirm; -e | umbrella | парасолька; парасольки
der Schlüssel; - | key | ключ; ключі
die Seife; -n | soap | мило; мила
das Sofa; -s | sofa | диван; дивани
die Sonnenbrille; -n | sunglasses | сонцезахисні окуляри; окуляри
der Strumpf; -e | sock | панчоха; панчохи
die Wiederholung; -en | repetition | повторення; повтори
die Zahnpasta; -pasten | toothpaste | зубна паста; паста для зубів
		Adjektive
bequem | comfortable | зручний; комфортний
durchschnittlich | average | середній; середні
freundlich | friendly | дружній; привітний
gelb | yellow | жовтий; жовті
jung | young | молодий; молоді
kompliziert | complicated | складний; ускладнений
pünktlich | punctual | пунктуальний; вчасний
regelmäßig | regular | регулярний
		Adverbien
allerdings | indeed | дійсно; точно
hinten | back | назад; ззаду
neulich | recently | нещодавно; востаннє
vorgestern | day before yesterday | позавчора; передвчора
	Lektion 9
		Verben
annehmen | to assume | припускати; приймати
argem | to angry | сердитий; обурений
benutzen | to use | використовувати; користуватися
bleiben | to stay | залишатися; лишатися
einstellen | to hire | наймати; приймати на роботу
entwickeln | to develop | розвивати; створювати
finden | to find | знаходити; відшукати
gehören | to belong | належати; бути власністю
leisten | to perform | виконувати; досягати
melden | to report | повідомляти; містити
organisieren | to organize | організовувати; упорядковувати
pflegen | to maintain | доглядати; зберігати
planen | to plan | планувати; план
retten | to rescue | рятувати; порятунок
schmecken | to taste | смакувати; смак
setzen | to put | ставити; покласти
sparen | to save | зберігати; економити
stecken | to put | ставити; покласти
toten | to kill | вбивати; убивати
überraschen | to surprise | дивувати; сюрприз
überweisen | to transfer | переказувати; передавати
unterhalten | to entertain | розважати; забавляти
verabreden | to arrange | домовлятися; організовувати
verbinden | to connect | з'єднувати; підключати
vermuten | to assume | припускати; передбачати
verteilen | to distribute | розподіляти; розповсюджувати
vorbereiten | to prepare | готувати
vorstellen | to introduce | вводити; представляти
wünschen | to wish | бажати; побажання
zahlen | to pay | платити; оплачувати
zurückrufen | to call back | перетелефонувати; повернутися дзвінок
		Nomen
die Anleitung; -en | instruction | інструкція; навчання
der Anrufbeantworter; - | answering machine | автовідповідач; абонентська установка
die Ansage; -n | announcement | оголошення; анонс
der Arbeitgeber; - | employer | роботодавець
das Attest; -e | certificate | сертифікат; висновок
die Aufgabe; -n | task | завдання; робота
der Auftrag; -e | order | замовлення; порядок
der Augenblick; -e | moment | момент; мить
die Bedienung; -en | service | обслуговування
das Blatt; -er | sheet | аркуш; лист
der Briefträger; - | mail carrier | листоноша; кур'єр
der Briefumschlag; -e | envelope | конверт; оправа
der Bürgermeister; - | mayor | мер; бургомістр
der Drucker; - | printer | принтер; друкарка
der Erfolg; -e | success | успіх; досягнення
das Ergebnis; -se | result | результат; відповідь
der Ernst | seriousness | серйозність; важливість
das Fax; -e | fax | факс; телеграф
das Formular; -e | form | форма; бланк
die Gefahr; -en | danger | небезпека; ризик
das Gerät; -e | device | пристрій; прилад
das Handy; -s | cell phone | мобільний телефон; телефон
das Hotelzimmer; - | hotel room | готельний номер; номер в готелі
das Internet | internet | Інтернет; інтернет
die Internetseite; -n | webpage | веб-сторінка; інтернет-сторінка
die Konferenz; -en | conference | конференція; зустріч
der Kopierer; - | copier | копіювальний апарат; копіювальний пристрій
der Lautsprecher; - | loudspeaker | динамік; гучномовець
die Maus; -e | mouse | миша; комп'ютерна миша
der Moment; -e | moment | момент; мить
die Nachricht; -en | message | повідомлення; лист
der Ofen; - | oven | піч; духовка
die Ordnung; -en | order | порядок; упорядкування
das Papier; -e | paper | папір; паперовий
die Papiere (Plural) | papers | документи; папери
die Quittung; -en | receipt | квитанція; отримання
die Reaktion; -en | reaction | реакція; реагування
der Schreibtisch; -e | desk | стіл; письмовий стіл
die Sorge; -n | worry | турбота; стурбованість
die Suche | search | пошук
die Tastatur; -en | keyboard | клавіатура
das Telefongespräch; -e | phone call | телефонний дзвінок; розмова по телефону
die Verabredung; -en | appointment | призначення; побачення
das Wetter | weather | погода; метеорологія
die Zukunft | future | майбутнє
		Adjektive
dringend | urgent | терміновий; нагальний
einsam | lonely | самотній; одинокий
erreichbar | reachable | доступний; досяжний
geschickt | skillful | вправний; кваліфікований
klug | clever | розумний; винахідливий
kompliziert | complicated | складний; заплутаний
neugierig | curious | цікавий; допитливий
nützlich | useful | корисний; практичний
persönlich | personal | особистий; особистісний
schlimm | bad | поганий; незграбний
schwierig | difficult | складний; важкий
		Adverbien
ab und zu | now and then | час від часу; іноді
häufig | frequently | часто; здебільшого
manchmal | sometimes | іноді
nämlich | namely | а саме; ім'я
nie | never | ніколи
oft | often | часто
samstags | on Saturdays | в суботу; по суботам
selten | rarely | рідко
unterwegs | on the way | по дорозі; в дорозі
		Funktionsworter
denn | because | тому що; оскільки
weil | because | тому що; бо
	Lektion 10
		Verben
abnehmen | to lose weight | схуднути; втрачати вагу
achten | to pay attention | звертати увагу; дотримуватися
andern | to change | змінювати; зміна
ansprechen | to address | звертатися; обговорювати
ärgern | to annoy | дратувати; злість
benutzen | to use | використовувати; користуватися
bleiben | to stay | залишатися; перебувати
erfahren | to find out | дізнаватися; знаходити
erwarten | to expect | очікувати; чекати
fühlen | to feel | відчувати; почувати
leisten | to achieve | досягати; виконувати
öffnen | to open | відкривати; відкрити
reden | to talk | розмовляти; говорити
schaffen | to create | створювати; здійснювати
verbringen | to spend | проводити; витрачати
verpassen | to miss | пропускати; не встигати
verreisen | to travel | подорожувати; виїжджати
vorbereiten | to prepare | готувати; підготовлювати
ziehen | to pull | тягнути; витягувати
		Nomen
das Abitur | high school graduation | здобуття сертифікату зрілості; випускний іспит
der Anzug; -e | suit | костюм; піджак
die Bedeutung; -en | meaning | значення; сенс
die Eisenbahn; -en | railway | залізниця; залізничний транспорт
die Erde | earth | Земля; земна куля
die Erfahrung; -en | experience | досвід; враження
die Ferien (Plural) | holidays | канікули; відпустка
die Fremdsprache; -n | foreign language | іноземна мова; іншомовний
das Hemd; -en | shirt | сорочка; блуза
das Hotelzimmer; - | hotel room | готельний номер; кімната в готелі
der Job; -s | job | робота; посада
der Kollege; -n | colleague | колега; співробітник
die Konferenz; -en | conference | конференція; зібрання
der Kontakt; -e | contact | контакт; зв'язок
der Kuss | kiss | поцілунок; цілування
die Ordnung; -en | order | порядок; поряд
der Plan; -e | plan | план; планування
der Punkt; -e | point | точка; момент
das Raumschiff; -e | spaceship | космічний корабель; ракета
der Schlüssel; - | key | ключ; ключик
die Straßenbahn; -en | tram | трамвай; електричка
die Strecke; -n | distance | відстань; дистанція
das Verkehrsmittel; - | mode of transport | засіб транспорту; вид транспорту
das Wetter | weather | погода; клімат
der Zug; -e | train | поїзд; потяг
		Adjektive
bequem | comfortable | зручний; комфортний
braun | brown | коричневий; бурштиновий
höflich | polite | ввічливий; чемний
hübsch | pretty | гарний; привабливий
offen | open | відкритий; відвертий
schmutzig | dirty | брудний; забруднений
toll | great | великий; величний
warm | warm | теплий; гарячий
		Adverbien
möglich | possible | можливий; можливо
normalerweise | normally | зазвичай; звичайно
unterwegs | on the way | в дорозі; під час подорожі
		Funktionsworter
als | as | як; якщо
wegen | because | тому що; бо
weil | because | через; внаслідок
um ... zu | in order to | для того щоб; з метою
