org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct::Linie+1+Beruf+B2

	Kapitel 1 Hier arbeite ich
		1 Arbeitsräume
die Klimaanlage; -n | air conditioning | кондиціонер
das Darlehen; - | loan | пози́ка
sich drehen (um + A.) | revolve around | обертатися навколо
verdrängen | suppress | витісняти
langfristig | long-term | довгостроковий
der Streit (Sg.) | quarrel | сварка
der Neid (Sg.) | envy | заздрість
die Überzeugung; -en | conviction | переконання
jemandem begegnen | encounter someone | зустрітися з кимось
die Feststellung; -en | finding / observation | висновок
zwangsläufig | inevitable | неминучий
die Belastung; -en | strain / burden | навантаження
das Prinzip; -ien | principle | принцип
die Beschleunigung (Sg.) | acceleration | прискорення
die Entschleunigung (Sg.) | deceleration / slowing down | уповільнення
die Einstellung; -en (zu + D.) | attitude (towards) | ставлення
unnötig | unnecessary | непотрібний
die Podiumsdiskussion; -en | panel discussion | панельна дискусія
der Vertreter; - / die Vertreterin; -nen | representative | представник / представниця
sich beschränken (auf + A.) | limit oneself (to) | обмежуватися
die Work-Life-Balance (Sg.) | work-life balance | баланс роботи та життя
grundlegend | fundamental | базовий
die Revolution; -en | revolution | революція
zum Ausgleich | for balance | для врівноваження
etwas als … betrachten | consider something as … | вважати щось …
permanent | permanent | постійний
überlastet sein | be overworked / overwhelmed | бути перевантаженим
das Homeoffice; -s | home office | домашній офіс
sich eine Existenz aufbauen | build a livelihood | будувати життя
aus meiner Sicht | from my perspective | на мою думку
	Kapitel 8 In der Gastronomie
		1 Kochen und essen
das Gericht; -e | dish | страва
mild ≠ scharf | mild ≠ spicy | м’який ≠ гострий
		2 Vielfalt des Angebots
die silberne Hochzeit; -en | silver wedding anniversary | срібне весілля
gewürzt | seasoned | приправлений
kompetent | competent | компетентний
die Sorgfalt (Sg.) | care / diligence | уважність
vegan | vegan | веганський
der Allergiker; - / die Allergikerin; -nen | allergy sufferer | алергік
der Liebhaber; - / die Liebhaberin; -nen | enthusiast / lover | любитель
erstklassig | first-class / excellent | першокласний
die Zutat; -en | ingredient | інгредієнт
umfangreich | extensive | широкий / різноманітний
der Genuss; -e | enjoyment | насолода
zeitgemäß | contemporary | сучасний
der Trend; -s | trend | тенденція
knusprig | crispy | хрусткий
cremig | creamy | кремовий
reichhaltig | rich / substantial | поживний / насичений
bewährt | proven | перевірений
würzig | flavorful / spicy | пряний
das Ambiente (Sg.) | ambiance | атмосфера
der Speisesaal; -e | dining hall | їдальня
bewerten | evaluate / rate | оцінювати
die Bewertung; -en | evaluation / rating | оцінка
der Pluspunkt; -e | advantage / plus point | перевага
aromatisch | aromatic | ароматний
sich etwas gönnen | treat oneself to something | дозволити собі щось
abwechslungsreich | varied | різноманітний
die Portion; -en | portion | порція
der Gang; -e | course (meal) | страва (під час трапези)
zuverlässig | reliable | надійний
schwören (auf + A.) | swear by | покладатися на
		3 Im Kochkurs
der Topf; -e | pot | каструля
die Pfanne; -n | pan | сковорода
das Backblech; -e | baking tray | деко
die Schüssel; -n | bowl | миска
das Sieb; -e | sieve / strainer | сито
die Waage; -n | scale | ваги
die Pfeffermühle; -n | pepper mill | млинок для перцю
der Salzstreuer; - | salt shaker | солонка
die Knoblauchpresse; -n | garlic press | прес для часнику
der Mixer; - | blender | міксер
abwiegen | weigh | відважувати
reiben | grate / rub | терти
rühren | stir | перемішувати
braten | fry / roast | смажити
schälen | peel | чистити
zäh | tough | жорсткий
die Schürze; -n | apron | фартух
		4 Berufe rund ums Essen
etwas vermitteln | convey something | передавати
vorausdenken | think ahead | передбачати
verantwortungsvoll | responsible | відповідальний
erfahren | experienced | досвідчений
eigenverantwortlich | self-responsible | самостійний
serviceorientiert | service-oriented | орієнтований на обслуговування
engagiert | committed | залучений
belastbar | resilient | витривалий
die Flexibilität (Sg.) | flexibility | гнучкість
die Teamfähigkeit (Sg.) | teamwork ability | здатність працювати в команді
die Geschicklichkeit (Sg.) | dexterity / skill | вправність
das Durchsetzungsvermögen (Sg.) | assertiveness | наполегливість
die Vollständigkeit (Sg.) | completeness | повнота
der Verbrauch (Sg.) | consumption | споживання
die Instandhaltung (Sg.) | maintenance | обслуговування
durchführen | carry out / perform | виконувати
zuständig sein (für + A.) | be responsible (for) | відповідати за
achten (auf + A.) | pay attention to | звертати увагу на
umgehen (mit + D.) | deal with | поводитися з
Ruhe bewahren | keep calm | зберігати спокій
die Kompetenz; -en | competence | компетентність
einen Beruf ausüben | practice a profession | виконувати професію
eröffnen | open / start | відкривати
der Einzelhandel (Sg.) | retail trade | роздрібна торгівля
aussagekräftig | meaningful / expressive | змістовний
seither | since then | з тих пір
aufgeschlossen | open-minded | відкритий
verderben | spoil | псувати
vorrätig sein | be in stock | бути в наявності
		5 Die Lieferung
die Lieferung; -en | delivery | доставка
die Bestellung; -en | order | замовлення
prüfen | check / verify | перевіряти
vereinbaren | agree on / arrange | домовлятися
akzeptabel | acceptable | прийнятний
der Lieferschein; -e | delivery note | накладна
vermerken | note / record | відзначати
stattdessen | instead | замість цього
auf den Markt kommen | come to market | виходити на ринок
benötigen | need / require | потребувати
die Lieferzeit; -en | delivery time | час доставки
der Vertriebsleiter; - / die Vertriebsleiterin; -nen | head of sales | керівник відділу продажів
		6 Erfolgreich verhandeln
erfolgreich | successful | успішний
der Verhandlungspartner; - / die Verhandlungspartnerin; -nen | negotiation partner | партнер по переговорах
der Konflikt; -e | conflict | конфлікт
ausweichen | avoid | уникати
die Forderung; -en | demand | вимога
fordern | demand | вимагати
bestehen (in + D.) | consist (in) | складатися в
unglaubwürdig | unbelievable / unreliable | неправдоподібний
das Selbstbewusstsein (Sg.) | self-confidence | самовпевненість
schweigen | be silent | мовчати
Stellung beziehen | take a position | зайняти позицію
der Standpunkt; -e | standpoint | точка зору
jemanden in eine Rolle drängen | push someone into a role | штовхати когось у роль
die Ausdauer (Sg.) | perseverance | витривалість
nachgeben | give in | поступатися
sich einstellen (auf + A.) | adjust / adapt | пристосовуватися
nachfragen | inquire / ask | уточнювати
sich erkundigen | inquire | дізнаватися
	Kapitel 9 Handel international
		1 Handel früher und heute
die Dienstleistung; -en | service | послуга
expandieren | expand | розширюватися
der Export; -e | export | експорт
exportieren | export | експортувати
global ≠ lokal | global ≠ local | глобальний ≠ локальний
der Großhandel (Sg.) | wholesale | оптова торгівля
die Kundenorientierung (Sg.) | customer orientation | орієнтація на клієнта
der Markt; -e | market | ринок
die Marktlücke; -n | market gap | ніша на ринку
die Nachfrage (Sg.) | demand | попит
die Nachhaltigkeit (Sg.) | sustainability | стійкість
online ≠ offline | online ≠ offline | онлайн ≠ офлайн
die Produktion (Sg.) | production | виробництво
der Umsatz; -e | turnover / sales | обсяг продажів
der Umweltstandard; -s | environmental standard | екологічний стандарт
die Währung; -en | currency | валюта
der Wechselkurs; -e | exchange rate | валютний курс
die Zielgruppe; -n | target group | цільова аудиторія
		2 Handel im Netz
die Mimik (Sg.) | facial expression | міміка
die Gestik (Sg.) | gestures | жести
der Webauftritt; -e | web presence | веб-присутність
etwas/jemanden schätzen | value something / someone | цінувати
gut ankommen | be well received | добре сприйматися
indem | by (doing) | шляхом
universell | universal | універсальний
ohne … dass | without … that | без того, щоб
potenziell | potential | потенційний
etwas ausgleichen | balance something | компенсувати
visuell | visual | візуальний
der Effekt; -e | effect | ефект
freizügig | liberal / revealing | вільний / відкритий
provozieren | provoke | провокувати
die Geste; -n | gesture | жест
die Beleidigung; -en | insult | образа
ohne zu … | without …ing | без …
recherchieren | research | досліджувати
vertikal ≠ horizontal | vertical ≠ horizontal | вертикально ≠ горизонтально
sich zurechtfinden | find one's way | орієнтуватися
freischalten | activate / enable | активувати
etwas herausfinden | find out something | дізнатися
der Faktor; -en | factor | фактор
bewusst | conscious / deliberate | свідомий
berücksichtigen | consider / take into account | враховувати
anpassungsfähig | adaptable | здатний адаптуватися
etwas umsetzen | implement / carry out | реалізовувати
der Konsument; -en / die Konsumentin; -nen | consumer | споживач
die Zuwachsrate; -n | growth rate | темп зростання
		3 Telefonat mit IQ-Web
das Bauteil; -e | component / part | компонент
die Wunschliste; -n | wish list | список побажань
(eine Ware) vertreiben | distribute (goods) | розповсюджувати товар
das Budget; -s | budget | бюджет
		4 Das war nicht optimal
installieren | install | встановлювати
der Mangel; - | defect / shortage | дефект / нестача
einen Ablauf darstellen | illustrate a process | показати процес
die Grundlage; -n | basis / foundation | основа
etwas festlegen | set / determine something | визначати
einen Entwurf erstellen | create a draft | скласти проєкт
kommentieren | comment | коментувати
überarbeiten | revise | переглядати
korrigieren | correct | виправляти
die Überarbeitung; -en | revision | редагування
die Benutzerfreundlichkeit (Sg.) | user-friendliness | зручність для користувача
die Lesbarkeit (Sg.) | readability | читабельність
vollständig | complete | повний
(einen Fehler) beseitigen | eliminate (a mistake) | усувати помилку
die Erprobungsphase; -n | testing phase | фаза тестування
einen Termin halten | keep an appointment | дотримуватися терміну
gelten | apply / be valid | застосовуватися
jemanden auffordern | request / ask someone | просити когось
		5 Wir über uns
vor Ort | on site | на місці
montieren | assemble | монтувати
ausliefern | deliver | доставляти
vernetzen | network / connect | з’єднувати
untereinander vernetzt | interconnected | взаємопов’язаний
einzigartig | unique | унікальний
nachhaltig | sustainable | стійкий
beliefern | supply / deliver | постачати
kontinuierlich | continuously | безперервно
gründlich | thoroughly | ґрунтовно
der Einsatz; -e | effort / use | застосування / витрати
die Zuständigkeit; -en | responsibility / competence | відповідальність
basieren (auf + D.) | be based on | базуватися на
der gemeinsame Nenner | common denominator | спільна основа
das Bedürfnis; -se | need / requirement | потреба
ineinander greifen | interlock / coordinate | взаємодіяти
der Energieverbrauch (Sg.) | energy consumption | енергоспоживання
die Haltbarkeit (Sg.) | durability | довговічність
die Geschäftsführung; -en | management | керівництво
die Steuerung; -en | control / management | керування
die Forschung; -en | research | дослідження
der Datenschutz (Sg.) | data protection | захист даних
die Gleichstellung (Sg.) | equality | рівність
der Arbeitsschutz (Sg.) | occupational safety | охорона праці
die Finanzen (Pl.) | finances | фінанси
	Kapitel 10 Rechte und Pflichten
		1 Eine neue Arbeitsstelle – viele Fragen
das Homeoffice (Sg.) | home office | робота з дому
die Kernzeit (Sg.) | core working hours | основний робочий час
die Gleitzeit (Sg.) | flexitime | гнучкий робочий час
die Teilzeit (Sg.) | part-time | неповний робочий день
die Vollzeit (Sg.) | full-time | повний робочий день
der Notfall; -e | emergency | надзвичайна ситуація
etwas frei wählen | choose something freely | вибирати щось самостійно
übrigbleiben (von + D.) | remain / be left over | залишатися
brutto | gross | брутто
netto | net | нетто
die Personalabteilung; -en | HR department | відділ кадрів
der Versicherungsbeitrag; -beiträge | insurance contribution | страховий внесок
der Hort; -e | daycare / after-school care | дитячий садок
		2 Davi Fendelas Arbeitsvertrag
der Arbeitgeber; - | employer | роботодавець
die Arbeitgeberin; -nen | employer (f.) | роботодавиця
der Arbeitnehmer; - | employee | працівник
die Arbeitnehmerin; -nen | employee (f.) | працівниця
das Arbeitsverhältnis; -se | employment relationship | трудові відносини
die Probezeit; -en | probationary period | випробувальний термін
die Frist; -en | deadline / period | термін
kündigen | terminate / resign | звільнитися / розірвати
zumutbar | reasonable / acceptable | прийнятний
die Vergütung; -en | remuneration | оплата праці
die Bruttovergütung; -en | gross salary | брутто-зарплата
die Berücksichtigung (Sg.) | consideration | врахування
Anspruch haben auf | be entitled to | мати право на
(sich/etwas) abstimmen (mit + D.) | coordinate / align with | погоджуватися
(sich/etwas) absprechen (mit + D.) | agree / arrange with | домовлятися
die Phase; -n | phase | етап
vertraglich geregelt | contractually regulated | регульований контрактом
die Tätigkeit; -en | activity / task | діяльність
		3 Vertragssprache
das Gesetz; -e | law | закон
der Tarifvertrag; -e | collective agreement | колективний договір
die Betriebsvereinbarung; -en | company agreement | угода підприємства
etwas regeln | regulate something | врегульовувати
die Vereinbarung; -en | agreement | домовленість
die Branche; -n | industry / sector | галузь
der Betriebsrat; -e | works council | рада підприємства
die Nebentätigkeit; -en | secondary activity / side job | підробіток
die Kündigung; -en | termination / dismissal | звільнення
jemanden einstellen | hire someone | приймати на роботу
regulär | regular | звичайний
etwas anordnen | order / instruct | наказувати
verpflichtet sein | be obliged | бути зобов’язаним
spätestens | at the latest | не пізніше
die Vertragsdauer (Sg.) | contract duration | тривалість контракту
der Arbeitsvertrag; -e | employment contract | трудовий контракт
		4 Regeln im Betrieb
der Gruppenleiter; - | group leader | керівник групи
die Gruppenleiterin; -nen | group leader (f.) | керівниця групи
pünktlich erscheinen | arrive on time | приходити вчасно
eine Lösung finden | find a solution | знайти рішення
sich etwas (nicht) gefallen lassen | (not) tolerate something | (не) терпіти щось
die Personalakte; -n | personnel file | особова справа
wegen (+ G.) | because of | через
der Gewissenskonflikt; -e | conflict of conscience | конфлікт сумління
die Auftragslage (Sg.) | order situation | ситуація з замовленнями
etwas selbst bestimmen | determine something oneself | вирішувати самостійно
die Dienstbekleidung; -en | work clothing / uniform | робочий одяг
innerhalb (+ G.) | within | протягом
außerhalb (+ G.) | outside | поза
anstelle von (+ D.) | instead of | замість
anlässlich (+ G.) | on the occasion of | з нагоди
trotz (+ G.) | despite | незважаючи на
der/das Startup; -s | startup | стартап
verpachten | lease out | передавати в оренду
		5 Gespräche mit Vorgesetzten
die Arbeitsbedingungen (Pl.) | working conditions | умови праці
die Gruppenleitung; -en | team management | керівництво групою
der Gehaltswunsch; -e | desired salary | бажана зарплата
die Arbeitsbelastung; -en | workload | робоче навантаження
der Tarif; -e | pay scale / tariff | тариф
über/unter Tarif bezahlen | pay above/below tariff | платити вище/нижче тарифу
Urlaub nehmen | take vacation | брати відпустку
		6 Kündigung
jemandem droht die Kündigung | someone faces dismissal | комусь загрожує звільнення
das Mobbing (Sg.) | bullying / harassment | цькування
die Diskriminierung (Sg.) | discrimination | дискримінація
jemanden entlassen | dismiss someone | звільнити когось
die Kündigungsfrist; -en | notice period | строк попередження про звільнення
stehlen | steal | красти
die Belästigung; -en | harassment | домагання
sexuell | sexual | сексуальний
jemanden mobben | bully someone | цькувати когось
die Betriebsversammlung; -en | company meeting | збори підприємства
sich schonen | take it easy / rest | берегти себе
		7 Arbeitsschutz
schwanger sein | be pregnant | бути вагітною
das Mutterschaftsgeld (Sg.) | maternity pay | допомога по вагітності
Zeitungen austragen | deliver newspapers | розносити газети
die Kinderarbeit (Sg.) | child labor | дитяча праця
die Schwerarbeit (Sg.) | heavy work | важка праця
der Gesundheitsschutz (Sg.) | health protection | охорона здоров’я
die Ruhezeit; -en | rest period | час відпочинку
die Gewerkschaft; -en | labor union | профспілка
übermäßig | excessive | надмірний
ätzend | caustic / unpleasant | різкий / неприємний
die Schutzbrille; -n | safety glasses | захисні окуляри
die Einmalhandschuhe (Pl.) | disposable gloves | одноразові рукавички
die Hygiene (Sg.) | hygiene | гігієна
desinfizieren | disinfect | дезінфікувати
der Beitrag; -e | contribution / post | внесок
	Kapitel 11 Arbeit und neue Medien
		1 Alles digital
digital | digital | цифровий
anklicken | click | натискати
herunterladen | download | завантажувати
hochfahren | boot up / start up | запускати
posten | post | публікувати
twittern | tweet | твітити
speichern | save | зберігати
		2 Einen Monat offline
verzichten (auf + A.) | do without / give up | відмовлятися від
schwerfallen | be difficult / hard | даватися важко
kommunizieren (mit + D.) | communicate (with) | спілкуватися
je … desto / umso … | the … the … | чим … тим …
zurückkehren | return | повертатися
deuten | interpret / indicate | тлумачити
sich blamieren | embarrass oneself | потрапити в незручну ситуацію
lauschen | listen in / eavesdrop | підслуховувати
vibrieren | vibrate | вібрувати
übertragen | transmit / broadcast | передавати
auf sich selbst gestellt sein | be on one’s own | бути сам на сам
kurzfristig | short-term / short notice | короткостроково
sich etwas zulegen | get oneself something | придбати щось
scheitern | fail | зазнати невдачі
in Betrieb nehmen | put into operation | запускати в експлуатацію
sich rechtfertigen | justify oneself | виправдовуватися
überprüfen | check / verify | перевіряти
vernetzt | networked | взаємопов’язаний
vertraut sein (mit + D.) | be familiar with | бути знайомим з
		3 Mediennutzung
stammen (aus/von + D.) | come from / originate | походити з
die Untersuchung; -en | study / investigation | дослідження
der/die Befragte; -n | respondent | респондент
die Hälfte; -n | half | половина
das Drittel; - | third | третина
an erster/letzter Stelle stehen | be in first/last place | стояти на першому/останньому місці
sich etwas vornehmen, nahm… vor, hat … vorgenommen | plan / set out to do something | планувати щось
etwas durchhalten | persevere / endure | витримувати
bewusst | conscious / deliberate | свідомий
die Umfrage; -n | survey | опитування
		4 Dana und der Drucker
reklamieren | complain / claim | пред’являти претензію
die Reklamation; -en | complaint | рекламація
die Voraussetzung; -en | requirement / prerequisite | умова / передумова
die Abholung; -en | pickup / collection | забір / отримання
Bezug nehmen (auf + A.) | refer to | посилатися на
in Erfahrung bringen | find out / learn | дізнаватися
in Anspruch nehmen | make use of / utilize | користуватися
einen Auftrag erteilen | place an order | давати доручення
einen Fehler beheben | fix / correct a mistake | усувати помилку
sich in Verbindung setzen (mit + D.) | get in touch with | зв’язатися з
in Betracht kommen | come into consideration | брати до уваги
bestätigen | confirm | підтверджувати
benachrichtigen | notify | повідомляти
defekt | defective / broken | несправний
einwandfrei | flawless / perfect | бездоганний
bedauern | regret | шкодувати
die Sendung; -en | shipment / broadcast | посилка / передача
umgehend | immediately | негайно
der Kostenvoranschlag; -e | cost estimate | кошторис
andernfalls | otherwise | інакше
der Versandhandel (Sg.) | mail order | поштовий продаж
		5 Gut vernetzt
mithilfe | with the help of | за допомогою
fest angestellt | permanently employed | постійно працевлаштований
die Initiativ-Bewerbung; -en | speculative application | ініціативна заявка
das Netzwerk; -e | network | мережа
gezielt | targeted | цілеспрямований
der Aufwand (Sg.) | effort / expenditure | витрати / зусилля
optimieren | optimize | оптимізувати
in Kontakt bleiben (mit +D.) | stay in contact | підтримувати контакт
veröffentlichen | publish | публікувати
zugehen (auf + A.) | approach / reach out to | наближатися / звертатися
die Gemeinsamkeit; -en | commonality | спільне
der Eindruck; -e | impression | враження
die Überwindung (Sg.) | overcoming / conquering | подолання
sich lohnen | be worthwhile | бути варто
die Umsetzung; -en | implementation | реалізація
vermischen | mix / blend | змішувати
jemanden von einem Plan abbringen | dissuade someone from a plan | відговорити від плану
	Kapitel 12 Global arbeiten und leben
		1 Aspekte der Globalisierung
der Krieg; -e ≠ der Frieden (Sg.) | war ≠ peace | війна ≠ мир
die Verständigung (Sg.) | understanding / communication | взаєморозуміння
die Identität; -en | identity | ідентичність
die Armut (Sg.) ≠ der Reichtum (Sg.) | poverty ≠ wealth | бідність ≠ багатство
der Klimawandel (Sg.) | climate change | зміна клімату
die Sprachbarriere; -n | language barrier | мовний бар’єр
das Menschenrecht; -e | human right | право людини
der Austausch (Sg.) | exchange | обмін
die Hautfarbe; -n | skin color | колір шкіри
der Rassismus (Sg.) | racism | расизм
die Zerstörung; -en | destruction | руйнування
die Tradition; -en | tradition | традиція
das Risiko, Risiken | risk | ризик
der Prozess; -e | process | процес
die Vernetzung; -en | networking | мережування
die Kapazität; -en | capacity | потужність / місткість
die Effizienz (Sg.) | efficiency | ефективність
zur Verfügung stehen | be available | бути у розпорядженні
der Bruchteil; -e | fraction / tiny part | частка
das Phänomen; -e | phenomenon | феномен
		2 Willkommen bei WTC
das Material; -ien | material | матеріал
Interesse an … haben | be interested in | цікавитися
sodass | so that | так що
die Anstrengung; -en | effort | зусилля
etwas erarbeiten | work something out | розробляти щось
der Unfallschutz (Sg.) | accident protection | захист від нещасних випадків
der Mentor; -en / die Mentorin; -nen | mentor | наставник / наставниця
sich (nicht) scheuen | (not) hesitate | не вагатися
weiterkommen (bei + D.) | make progress (with) | просуватися вперед
der Verbesserungsvorschlag; -e | suggestion for improvement | пропозиція щодо покращення
dankbar (für + A.) | grateful (for) | вдячний за
		3 Manches ähnlich – vieles neu
die Arbeitsbedingungen (Pl.) | working conditions | умови праці
die Urlaubsplanung; -en | holiday planning | планування відпустки
die Bürokratie; -n | bureaucracy | бюрократія
die Körpersprache; -n | body language | мова тіла
improvisieren | improvise | імпровізувати
		4 Kommunikation im Betrieb
das Mobbing (Sg.) | bullying / harassment | цькування
der Betriebsrat; -e | works council | рада підприємства
einen Termin verschieben/vereinbaren/freihalten/notieren | reschedule / arrange / reserve / note an appointment | перенести / домовитися / зарезервувати / записати зустріч
die Vorbereitung; -en (auf + A.) | preparation (for) | підготовка
das Detail; -s | detail | деталь
das Gespräch (mit + D. / über + A.) | conversation / meeting | розмова
erstaunt | astonished | здивований
ärgerlich | annoyed / irritating | роздратований
sich etwas ausdenken | invent / think of something | вигадувати
die Betriebsversammlung; -en | company meeting | збори підприємства
die Stellungnahme; -n | statement / position | заява / позиція
die Gewerkschaft; -en | labor union | профспілка
vergüten | remunerate | оплачувати
etwas ankündigen | announce something | оголошувати
das Potenzial; -e | potential | потенціал
jemandem danken (für + A.) | thank someone (for) | дякувати
		5 Persönliche Beziehungen in einer globalisierten Welt
das Zeitalter; - | age / era | епоха
die Migration (Sg.) | migration | міграція
die Trennung; -en | separation | розлука / розрив
ganz zu schweigen von | not to mention | не кажучи вже про
auseinanderreißen | tear apart | розривати
die Schätzung; -en | estimate | оцінка
belastend | stressful / burdensome | обтяжливий
etwas investieren | invest something | інвестувати
getrennt leben | live separately | жити окремо
der Freiraum; -e | freedom / personal space | свобода / особистий простір
leiden (unter + D.) | suffer (from) | страждати
sich gegenseitig anregen | inspire each other | надихати один одного
etwas erschweren | make something more difficult | ускладнювати
die Scheinehe; -n | sham marriage | фіктивний шлюб
tendenziell | tendentially | тенденційно
dominant | dominant | домінуючий
finanziell abhängig/unabhängig | financially dependent/independent | фінансово залежний/незалежний
folglich | consequently | отже
infolgedessen | as a result | внаслідок
vielfältig | diverse | різноманітний
die Epoche; -n | epoch | епоха
	Kapitel 13 Konflikte lösen
		1 Probleme im Arbeitsalltag
alleinerziehend | single parent | одинокий батько / одна мати
in Schicht arbeiten | work in shifts | працювати по змінах
die Kundenbeschwerde; -n | customer complaint | скарга клієнта
die Aufstiegsmöglichkeit; -en | promotion opportunity | можливість підвищення
die Babypause; -n | maternity/paternity break | відпустка по догляду за дитиною
der Mutterschutz (Sg.) | maternity protection | охорона праці для вагітних
die Elternzeit (Sg.) | parental leave | батьківська відпустка
der Meisterkurs; -e | master course | курс для майстра
Teilzeit arbeiten | work part-time | працювати неповний день
		2 Das finde ich nicht in Ordnung!
die Messe; -n | trade fair / exhibition | ярмарок / виставка
sich/jemanden beruhigen | calm down / calm someone | заспокоюватися / заспокоювати когось
		3 Gemeinsam Lösungen finden
Respekt voreinander haben | have respect for each other | поважати один одного
ausreden | finish speaking / talk through | висловлюватися
jemanden einschalten | involve someone | залучати когось
Meinungsunterschiede offen austragen | openly discuss differences of opinion | відкрито обговорювати різні думки
sich etwas bewusst machen | make oneself aware of something | усвідомлювати
nachtragend sein | be resentful | мати образу
wagen | dare | наважуватися
jemanden beschäftigen | occupy / employ someone | займати / працевлаштовувати
das Großraumbüro; -s | open-plan office | офіс відкритого планування
der Schichtplan; -e | shift schedule | графік змін
der Anlass; -e | occasion / reason | привід
jemandem etwas in die Schuhe schieben | blame someone for something | перекладати провину на когось
ankündigen | announce | оголошувати
		4 Berufliche Telefongespräche führen
Notizen durchlesen/vervollständigen | read/complete notes | переглядати/доповнювати нотатки
gelassen bleiben | stay calm | зберігати спокій
bei Bedarf | if needed / as required | у разі потреби
		5 Wenn ich das gewusst hätte …
unter Druck sein | be under pressure | бути під тиском
etwas an eine Mail anhängen | attach something to an email | додавати до листа
die Rückfrage; -n | follow-up question | уточнююче запитання
		6 Veränderte Rollen in Beruf, Partnerschaft und Familie
etwas nachvollziehen können | be able to understand something | мати змогу зрозуміти
in einer Krise stecken | be in a crisis | бути в кризі
extrem | extreme | крайній
die Abschlussnote; -n | final grade | підсумкова оцінка
gleichaltrig | same age | одноліток
jemandem Chancen verschaffen | provide someone with opportunities | надавати комусь можливості
Wirkung zeigen | show effect / impact | демонструвати ефект
Führungsaufgaben übernehmen | take on leadership tasks | брати на себе керівні обов’язки
bewusst miterleben | consciously experience | свідомо переживати
der Nachwuchs (Sg.) | junior staff / offspring | молодше покоління / нащадки
die Belastungsprobe; -n | stress test | перевірка на стійкість
jemanden vor große Herausforderungen stellen | challenge someone | ставити когось перед великими викликами
etwas aushandeln | negotiate something | домовлятися
der Faktor, Faktoren | factor | фактор
die Trendwende; -n | turning point / trend reversal | перелом тенденції
das Modell; -e | model | модель
angewiesen sein (auf + A.) | be dependent on | бути залежним від
sich qualifizieren (für + A.) | qualify for | кваліфікуватися для
die Nachwuchskraft; -e | junior employee | молодий працівник
verteidigen | defend | захищати
jemandem blind vertrauen | trust someone blindly | довіряти комусь сліпо
sich verwirklichen | realize oneself / fulfill oneself | реалізовувати себе
	Kapitel 14 Weiterbildung
		1 Bildungsgeschichten
die Umschulung; -en | retraining | перенавчання
die Pubertät (Sg.) | puberty | пубертат
die Schwangerschaft; -en | pregnancy | вагітність
die Weiterbildung; -en | further education | підвищення кваліфікації
die Gesellenprüfung; -en | journeyman exam | екзамен на майстра
die Ausbildungsvergütung; -en | training allowance | стипендія / зарплата під час навчання
		2 Man lernt nie aus
mehr als genug | more than enough | більш ніж достатньо
sich weiterbilden | continue one’s education | підвищувати кваліфікацію
das Weiterbildungsangebot; -e | continuing education offer | пропозиція курсів підвищення кваліфікації
etwas erkennen | recognize / realize something | розпізнавати / усвідомлювати
sich (geistig) fit fühlen | feel mentally fit | почуватися розумово бадьорим
offensichtlich | obvious / apparent | очевидно
erhalten bleiben | remain preserved | залишатися незмінним
der Rollstuhl; -e | wheelchair | інвалідний візок
etwas betonen | emphasize something | підкреслювати
Kontakte knüpfen | make contacts / network | встановлювати контакти
diszipliniert ≠ disziplinlos | disciplined ≠ undisciplined | дисциплінований ≠ недисциплінований
sozial | social | соціальний
tolerant ≠ intolerant | tolerant ≠ intolerant | толерантний ≠ нетолерантний
kämpferisch | combative / determined | бойовий / рішучий
kollegial ≠ unkollegial | collegial ≠ uncollegial | колегіальний ≠ неколегіальний
mobil | mobile | мобільний
selbstständig ≠ unselbständig | independent ≠ dependent | самостійний ≠ залежний
temperamentvoll | spirited / lively | темпераментний
verantwortungsbewusst ≠ verantwortungslos | responsible ≠ irresponsible | відповідальний ≠ безвідповідальний
zäh | tough / persistent | витривалий
zielstrebig ≠ ziellos | determined ≠ aimless | цілеспрямований ≠ безцільний
stellvertretend (für + A.) | representative (for) | представницький / від імені
etwas versäumen | miss / neglect something | пропускати / упускати
		3 Hilfen für die berufliche Entwicklung
erwerbstätig | employed | працюючий
das Jahreseinkommen; - | annual income | річний дохід
versteuern | declare / pay taxes on | оподатковувати
übersteigen | exceed | перевищувати
das Anerkennungsverfahren; - | recognition procedure | процедура визнання
entsprechen | correspond / meet requirements | відповідати
Unterstützung erhalten | receive support | отримувати підтримку
promovieren | pursue a doctorate | захищати дисертацію
forschen | research | проводити дослідження
das Stipendium, Stipendien | scholarship | стипендія
drohen | threaten | загрожувати
etwas nachweisen | prove / provide evidence of something | підтверджувати
sich beraten lassen | seek advice | консультуватися
		4 Luka möchte eine Weiterbildung machen
zunehmen ≠ abnehmen | gain ≠ lose (weight) | набирати ≠ втрачати
das Berufsbild; -er | occupational profile | професійний профіль
sich grundlegend ändern | fundamentally change | змінюватися кардинально
sich wenden (an + A) | turn to / approach | звертатися до
Grundkenntnisse erwerben | acquire basic knowledge | здобувати базові знання
das Arbeitsfeld; -er | field of work | сфера діяльності
die Fachkraft; -e | specialist / skilled worker | фахівець
die zuständigen Stellen | responsible authorities | відповідні органи
beantragen | apply for | подавати заявку
offene Fragen klären | clarify open questions | з’ясовувати нез’ясовані питання
die Anreise; -n | arrival / travel | прибуття / подорож
der Anmeldeschluss (Sg.) | registration deadline | термін подання заявки
