org.leo.dictionary.config.entity.ParseWords:fr:en;uk:le+;la+;les+;l%27:%5C%7C:%3B:%3B:%5Ct::Collins+French+3000

	 l'essentiel | the essentials
la location de vacances | holiday let | оренда на відпочинок
louer | to rent | знімати
posséder | to own | володіти
déménager | to move house | переїжджати
construire une maison | to build a house | будувати будинок

l'immeuble; m | apartment block | житловий будинок
le pavillon | bungalow | бунгало
la maison individuelle | detached house | окремий будинок
la ferme | farmhouse | ферма
la maison jumelée | semi-detached house | двоквартирний будинок
le studio | studio flat | однокімнатна квартира

la maison | the house | будинок
la pièce | room | кімната
la cave | cellar | підвал
le grenier | attic | горище
le plafond | ceiling | стеля
le mur | wall | стіна
le sol | floor | поверх
le balcon | balcony | балкон
la prise | plug / socket | вилка / розетка
l'adaptateur; m | adaptor | адаптер
l'électricité; f | electricity | електрика
la plomberie | plumbing | сантехніка
la climatisation | air conditioning | кондиціонер
le chauffage central | central heating | центральне опалення
l'antenne parabolique; f | satellite dish | супутникова антена
la porte de derrière | back door | задні двері
la porte-fenêtre | French windows | французьке вікно
le puits de lumière | skylight | мансардне вікно
la lucarne | dormer | мансардне вікно
réparer | to fix | виправити
décorer | to decorate | прикрашати
rénover | to renovate | ремонтувати

la chaudière | boiler | котел
le ventilateur de plafond | ceiling fan | стельовий вентилятор
la multiprise | extension cable | кабель-подовжувач
la boîte à fusibles | fusebox | блок запобіжників
le radiateur | heater | радіатор
l'ampoule; f | light bulb | лампочка
le compteur | meter | лічильник електроенергії
le radiateur | radiator | радіатор
l'alarme; f | security alarm | охоронна сигналізація
l'alarme incendie; f | smoke alarm | детектор диму
le thermostat | thermostat | термостат
le poêle à bois | wood-burning stove | дров'яна піч

le toit | roof | дах
la cheminée | chimney | димохід
l'antenne | aerial | антена
la gouttière | gutter | дощовий жолоб
le tuyau de descente | drainpipe | зливна труба
le pignon | gable | фронтон; двосхильний
la fenêtre | window | вікно
le volet | shutter | затвор
le portail | gate | брама
l'allée | driveway | під'їзна дорога
la porte d'entrée | front door | вхідні двері
le garage | garage | гараж

l'entrée | the entrance | вхід
l'entree; f | porch; hallway | вхід; під'їзд
le judas | peephole | вічко
le paillasson | doormat | килимок
la boîte aux lettres | letterbox | поштова скринька
le couloir | corridor | коридор
la cage d'escalier | stairwell | сходова клітка
l'escalier; m | staircase | сходи
le palier | landing | посадка
l'ascenseur; m | lift | ліфт
faire entrer quelqu'un (par interphone) | to buzz somebody in | впустіть когось за допомогою зумера
s'essuyer les pieds | to wipe one's feet | витирати ноги
accrocher sa veste | to hang one's jacket up | повісити куртку
la sonnette | doorbell | дверний дзвінок
l'interphone; m | intercom | домофон
la clé | key | ключ

le salon | the lounge | вітальня
la moquette | carpet | килим
le parquet | floorboards | дошки підлоги
l'ensemble de meubles; m | suite | набір меблів
le canapé-lit | sofa bed | диван-ліжко
la lampe de table | table lamp | настільна лампа
la télévision par câble / satellite | cable / satellite TV | кабельне / супутникове телебачення
la télévision intelligente | smart TV | смарт-телевізор
la télévision à la demande | TV on demand | телебачення на замовлення
se détendre | to relax | відпочивати
s'asseoir | to sit down | сідати
regarder la télé | to watch TV | телевізор
écouter de la musique | to listen to music | слухати музику

la bibliothèque | bookcase | книжкова полиця
les rideaux; mpl | curtains | штори
la vitrine | display cabinet | вітрина
le lecteur DVD / Blu-ray® | DVD / Blu-ray® player | програвач DVD / Blu-ray®
la radio | radio | радіо
la télécommande | remote control | пульт дистанційного керування
le buffet | sideboard | сервант; буфет
le meuble télé | TV stand | шафа під телевізор
le store vénitien | Venetian blind | жалюзі

l'applique; f | wall light | настінний світильник
la télé | TV | телевізор
la cheminée | fireplace | камін
la table basse | coffee table | журнальний столик
le canapé | sofa | диван
l'image; f | picture | фото; малюнок
l'ornement; m | ornament | орнамент
l'étagère; f | shelves | полиця
le fauteuil | armchair | крісло
le repose-pied | footstool | стілець
le tapis | rug | килим
le coussin | cushion | подушка

la cuisine | the kitchen | кухня
la cuisinière | (electric) cooker | (електрична) плита
la gazinière | gas cooker | газова духовка
la hotte | cooker hood | витяжка
la bouilloire | kettle | котел
le grille-pain | toaster | тостер
cuisiner | to cook | готувати
frire | to fry | смажити
faire sauter | to stir-fry | обсмажити (помішуючи)
bouillir | to boil | кип'ятити
rôtir | to roast | смажити
cuire (au four) | to bake | випікати
faire la vaisselle | to wash up | мити посуд
débarrasser le plan de travail | to clean the worktops | очистити робочу поверхню
ranger les courses | to put away the groceries | прибрати продукти

la plaque pour le four | baking tray | форма для випічки
la cafetière à piston | cafetière | кавоварка; глечик прес-фільтра
la cocotte | casserole dish | запіканка
la planche à découper | chopping board | обробна дошка
la passoire | colander | друшляк
le tire-bouchon | corkscrew | штопор
le robot de cuisine | food processor | кухонний комбайн
la poêle | frying pan | сковорідка
la râpe | grater | терка
le batteur | hand mixer | ручний міксер
le couteau de cuisine | kitchen knife | кухонний ніж
la louche | ladle | ківш
le presse-purée | masher | картопледавка
le verre mesureur | measuring jug | мірна чашка
le saladier | mixing bowl | миска для змішування
l'économe; m | peeler | очищувач
le rouleau à pâtisserie | rolling pin | качалка
la casserole | saucepan | каструля
le tamis | sieve | сито
la spatule | spatula | шпатель
l'ouvre-boîtes; m | tin opener | консервний ніж

le fouet | whisk | віночок
le wok | wok | вок; глибока сковорідка
la cuillère en bois | wooden spoon | дерев'яна ложка

le papier aluminium | aluminium foil | алюмінієва фольга
le sac poubelle | bin bag | мішок для сміття
la huche à pain | bread bin | хлібниця
le film alimentaire | clingfilm | харчова плівка
l'essuie-tout; m | kitchen roll | кухонний папір
la poubelle à pédale | pedal bin | педальний контейнер для сміття

l'évier; m | sink | раковина; умивальник
le four | oven | піч
la plaque chauffante | hob | поверхня плити
le four à microondes | microwave | мікрохвильова піч
le spot | spotlight | місце
le réfrigérateurcongélateur | fridge-freezer | холодильник з морозильною камерою
le placard | cupboard | шафа
le robinet | tap | кран
l'égouttoir; m | draining board | сушильна дошка
le tiroir | drawer | ящик
le plan de travail | worktop | робоча поверхня
les carreaux; mpl | tiles | плитка

la salle à manger | the dining room | їдальня
la table à manger | dining table | обідній стіл
le set de table | place mat | килимок
le dessous de verre | coaster | підстаканник
la vaiselle | crockery | посуд
les couverts; mpl | cutlery | столові прибори
la verrerie | glassware | скляний посуд
mettre la table | to set the table | накрити на стіл
dîner | to dine | вечеряти
débarrasser la table | to clear the table | прибирати зі столу

la saucière | gravy boat | соусник
la serviette | napkin | серветка
le moulin à poivre | pepper mill | млин для перцю
le saladier | salad bowl | салатник
la salière | salt cellar | сільничка
le plat de service | serving dish | сервірувальна тарілка

le bol | bowl | чаша
la flûte à champagne | champagne flute | флейта шампанського; келих для шампанського
la tasse et la soucoupe | cup and saucer | чашка і блюдце
le couteau et la fourchette | knife and fork | ніж і виделка
l'assiette; f | plate | тарілка; блюдо
la cuillère | spoon | ложка
la cuillère à café | teaspoon | чайна ложка
le verre | tumbler | склянка
le verre à vin | wine glass | келих для вина

la chambre | the bedroom | спальня
le lit d'une personne | single bed | односпальне ліжко
le lit deux personnes | double bed | двоспальне ліжко
la chambre principale | master bedroom | головна спальня
la chambre d'ami | spare room | кімната для гостей
la salle de bain attenante | en-suite bathroom | окрема ванна кімната
la chambre d'enfant | nursery | дитяча кімната
la literie | bedding | простирадла
aller se coucher | to go to bed | лягти спати; лягати спати
dormir | to sleep | спати
se réveiller | to wake up | прокидатися
faire le lit | to make the bed | заправляти ліжко
changer les draps | to change the sheets | змінити простирадла

la couverture | blanket | ковдра
les lits superposés; mpl | bunk beds | двоярусне ліжко
le radio-réveil | clock radio | радіогодинник
le portemanteau | coat hanger | вішалка
la coiffeuse | dressing table | туалетний столик; трюмо
le sèche-cheveux | hairdryer | фен
le panier à linge | laundry basket | кошик для білизни
l'édredon; m | quilt | ковдра
les draps; mpl | sheets | простирадла

le miroir | mirror | дзеркало
la commode | chest of drawers | комод
le lit | bed | ліжко
l'armoire; f | wardrobe | гардероб
la couette | duvet | ковдра
les rideaux; mpl | curtains | штори
le fauteuil | armchair | крісло
la lampe de chevet | bedside lamp | нічна лампа
le tapis | rug | килим
l'oreiller; m | pillow | подушка
le matelas | mattress | матрац
la table de chevet | bedside table | тумбочка

la salle de bain | the bathroom | ванна кімната
le rideau de douche | shower curtain | шторка для душу
le siège WC | toilet seat | сидіння унітазу
la chasse d'eau | flush | змив туалету
l'égout; m | drain | злив
se doucher | to shower | приймати душ
prendre un bain | to have a bath | купатися
se laver les mains | to wash one's hands | мити руки
se brosser les dents | to brush one's teeth | чистити зуби
aller aux toilettes | to go to the toilet | піти в туалет

le tapis de bain | bath mat | килимок для ванни
la serviette de bain | bath towel | банний рушник
le gant de toilette | face cloth | мочалка
l'essuie-mains; m | hand towel | рушник
la fleur de douche | shower puff | душова затяжка
le savon | soap | мило
l'éponge; f | sponge | губка
la brosse à toilettes | toilet brush | туалетна щітка
le papier toilette | toilet roll | рулон туалетного паперу

le miroir | mirror | дзеркало
l'évier; m | sink | раковина; умивальник
la douche | shower | душ
les toilettes; fpl | toilet | туалет
le porte-serviettes | towel rail | тримач для рушників
le robinet | tap | кран
le cabinet | cabinet | шафа
le bidet | bidet | біде
la paroi de douche | shower screen | душова кабіна
la baignoire | bath | ванна

le jardin | the garden | сад
l'arbre; m | tree | дерево
la terre | soil | земля
l'herbe; f | grass | трава
la plante | plant | рослина
la mauvaise herbe | weed | бур'ян
la plate-bande | flowerbed | клумба
le compost | compost | компост
le jardin ouvrier | allotment | присадибний сад
le jardinier | gardener | садівник
la jardinière | gardener | садівник

désherber | to weed | полоти
arroser | to water | поливати
cultiver | to grow | вирощувати
planter | to plant | саджати

la terrasse en bois | decking | тераса
la fourche | garden fork | вила садові
le tuyau | garden hose | садовий шланг
les gants de jardinage; mpl | gardening gloves | садові рукавички
la cabane | garden shed | садовий будинок
la serre | greenhouse | теплиця
la binette | hoe | мотика
la tondeuse | lawnmower | газонокосарка
le parasol | parasol | парасолька
le pot de fleurs | plant pot | вазон
le sécateur | pruners | садові ножиці
la pelle | spade | лопата
le déplantoir | trowel | кельма
l'arrosoir; m | watering can | лійка
le désherbant | weedkiller | засіб від бур'янів
les bottes en caoutchouc; fpl | Wellington boots | гумові чоботи
la brouette | wheelbarrow | тачка
la jardinière | windowbox | ящик для квітів

le treillis | trellis | решітка
la pelouse | lawn | газон
l'arbuste; m | shrub | кущ
le portail | gate | брама
la palissade | fence | паркан
le nichoir | birdbox | шпаківня
les meubles de jardin; mpl | patio furniture | садові меблі
le chemin | path | стежка
les fleurs; fpl | flowers | квіти
le patio | patio | тераса
le pot de fleur | flowerpot | вазон


le ménage | housework | домашня робота
la buanderie | utility room | підсобне приміщення
les appareils électroménagers; mpl | household appliances | побутова техніка
les tâches ménagères; fpl | chores | домашня робота
la bassine | basin | басейн
l'eau de javel; f | bleach | відбілювач
le désinfectant | disinfectant | дезінфікуючий засіб
la pastille lave-vaisselle | dishwasher tablet | таблетка для посудомийної машини
la lessive | laundry detergent | миючий засіб
la poubelle de recyclage | recycling bin | контейнер для переробки
la corbeille | wastepaper basket | кошик для паперів
le liquide vaisselle | washing-up liquid | засіб для миття посуду
balayer le sol | to sweep the floor | підмітати
faire la lessive | to do the laundry | випрати білизну
passer l'aspirateur | to hoover | пилососити
ranger | to tidy up | прибирати
nettoyer | to clean | чистити
sortir les poubelles | to take out the bin | виносити сміття
la brosse | brush | мітла
le seau | bucket | відро
le torchon | cloth | тканина
l'étendoir; m | clothes horse | стелаж для сушіння
les pinces à linge; fpl | clothes pegs | прищіпки
le lave-vaisselle | dishwasher | посудомийна машина
la poubelle | dustbin | відро для сміття
la pelle | dustpan | совок
le fer à repasser | iron | праска
la planche à repasser | ironing board | прасувальна дошка
la serpillière | mop | швабра
les gants en caoutchouc; mpl | rubber gloves | гумові рукавички
le tampon à récurer | scourer | миючий засіб
le torchon | tea towel | кухонний рушник
le sèche-linge | tumble drier | сушарка для білизни
l'aspirateur; m | vacuum cleaner | пилосос
la corde à linge | washing line | мотузка для білизни
la machine à laver | washing machine | пральна машина

	aux magasins | at the shops
aux magasins | at the shops | в магазині
le panier | basket | кошик
la banane | banana | банан
le pain | bread | хліб
l'huile végétale; f | vegetable oil | рослинне масло

le magasin | shop | магазин
le supermarché | supermarket | супермаркет
le centre commercial | shopping centre | торговий центр
le commerce de proximité | convenience store | місцева торгівля
la grande enseigne | high-street shop | великий бренд
le marché | market | ринок
le liquide | cash | готівка
la monnaie | change | решта
sans contact | contactless | безконтактний
le code personnel | PIN | ПІН-код
l'échange; m | exchange | обмін
le remboursement | refund | відшкодування
le coupon | voucher | ваучер
les provisions | groceries | бакалія
le vendeur | shop assistant | продавець
la vendeuse | shop assistant | продавець
le client | customer | покупець
la cliente | customer | покупець
regarder dans les magasins | to browse | роздивлятися
acheter | to buy | купити
payer | to pay | платити
faire du shopping (en ligne) | to shop (online) | покупки (онлайн)
faire des courses | to do the shopping; go shopping | йти за покупками; йти по магазинах
les billets de banque; mpl | banknotes | банкноти
le lecteur de cartes | card reader | зчитувач карток
les pièces de monnaie; fpl | coins | монети
la carte de paiement / de crédit | debit / credit card | банківська карта / кредитна картка
le sac en papier | paper bag | паперовий пакет
le sac en plastique | plastic bag | пластиковий пакет
le reçu | receipt | квитанція
le sac réutilisable | reusable shopping bag | багаторазова сумка для покупок
la caisse | till point | касовий апарат

le supermarché | supermarket | супермаркет
l'allée; f | aisle | коридор; прохід
la carte de fidélité | loyalty card | картка лояльності
l'épicerie fine; f | delicatessen | делікатес
le plat cuisiné | ready meal | готова страва
la bouteille | bottle | пляшка
la boîte | box | коробка
la brique | carton | картонна коробка
le bocal | jar | банка
le paquet | packet | пакунок
la conserve | tin | жерстяна банка
en boîte | tinned | консервований
frais | fresh | свіжий
surgelé | frozen | заморожений
maigre | low-fat | нежирний
basses calories | low-calorie | низько калорійний

le panier | basket | кошик
la balance | scales | ваги
le chariot | trolley | візок

les biscuits; mpl | biscuits | печиво
le couscous | couscous | кус-кус
les fines herbes; fpl | herbs | трави
le miel | honey | мед
le sucre glace | icing sugar | цукрова пудра
le café instantané | instant coffee | розчинна кава
la confiture | jam | варення
le ketchup | ketchup | кетчуп
la marmelade | marmalade | апельсиновий джем
la mayonnaise | mayonnaise | майонез
les nouilles; fpl | noodles | локшина
l'huile d'olive; f | olive oil | оливкова олія
les pâtes; fpl | pasta | макарони
le poivre | pepper | перець
le riz | rice | рис
le sel | salt | сіль
les épices; fpl | spices | спеції
le sucre | sugar | цукор

les sachets de thé; mpl | teabags | чайні пакетики
l'huile végétale; f | vegetable oil | рослинне масло
le vinaigre | vinegar | оцет

le chocolat | chocolate | шоколад
les chips; fpl | crisps | картопляні чіпси
les fruits à coque; mpl | nuts | горіхи
les olives; mpl | olives | оливки
le popcorn | popcorn | попкорн
les bonbons; mpl | sweets | цукерки

la bière | beer | пиво
la boisson gazeuse | fizzy drink | газований напій; лимонад
le jus de fruit | fruit juice | фруктовий сік
l'eau minérale; f | mineral water | мінеральна вода
les spiritueux; mpl | spirits | спиртні напої
le vin | wine | вино

le marché | market | ринок
la place du marché | marketplace | ринок
la fabrication artisanale | traditional production | кустарне виготовлення
le marché aux puces | flea market | барахолка
le marché couvert | indoor market | зал ринку
le marché fermier | farmer's market | фермерський ринок
le commerçant | trader | продавець
la commerçante | trader | продавець
l'étal; m | stall | прилавок
les produits; mpl | produce | продукти
local | local | локальний
bio | organic | органічний
saisonnier | seasonal | сезонний
fait maison | home-made | саморобний

les fruits et légumes | fruit and vegetables | фрукти та овочі
l'épicerie; f | grocer's | продуктовий магазин
le jus | juice | сік
la feuille | leaf | листок
la pelure | peel | лушпайка
le pépin | pip | ядро плоду
le zeste | rind | кора
la graine | seed | ядро
le quartier | segment | частина
la peau | skin | шкіра
le noyau | stone | ядро
cru | raw | сирий
frais | fresh | свіжий
pourri | rotten | гнилий
mûr | ripe | стиглий
pas mûr | unripe | незрілий
sans pépins | seedless | безнасінний
couper | to chop | рубати
couper en dés | to dice | нарізати кубиками
râper | to grate | натерти
faire du jus de | to juice | віджимати сок
peler | to peel | чистити

la pomme | apple | яблуко
l'abricot; m | apricot | абрикос
la banane | banana | банан
la mûre | blackberry | ожина
le cassis | blackcurrant | чорна смородина
la myrtille | blueberry | чорниця
la cerise | cherry | вишня
la groseille à maquereau | gooseberry | агрус
le raisin | grape | виноград
le pamplemousse | grapefruit | грейпфрут
le kiwi | kiwi fruit | ківі
le citron | lemon | лимон
la mangue | mango | манго
le melon | melon | диня
l'orange; f | orange | апельсин
le fruit de la passion | passion fruit | маракуйя
la pêche | peach | персик
la poire | pear | груша

l'ananas; m | pineapple | ананас
la prune | plum | слива
la framboise | raspberry | малина
la groseille | redcurrant | червона смородина
la fraise | strawberry | полуниця
la pastèque | watermelon | кавун

l'artichaut; m | artichoke | артишок
l'asperge; f | asparagus | спаржа
l'aubergine; f | aubergine | баклажан
la betterave | beetroot | буряк
les brocolis; mpl | broccoli | броколі
le chou de Bruxelles | Brussels sprout | брюссельська капуста
le chou | cabbage | капуста
la carotte | carrot | морква
le chou-fleur | cauliflower | цвітна капуста
le céleri | celery | селера
le piment | chilli | перець чилі
la courgette | courgette | цукіні
le concombre | cucumber | огірок
l'ail; m | garlic | часник
les haricots verts; mpl | green beans | зелена квасоля
le poireau | leek | лук
la laitue | lettuce | листовий салат
le champignon | mushroom | гриб
l'oignon; m | onion | цибуля
les petits pois; mpl | peas | горох
la pomme de terre | potato | картопля
le poivron rouge | red pepper | червоний перець
les épinards; mpl | spinach | шпинат
la tomate | tomato | помідор

la poissonnerie | fishmonger's | рибний магазин
le poissonnier | fishmonger | торговець рибою
la poissonnière | fishmonger | торговець рибою
l'arête; f | (fish)bone | кістки
le filet | fillet | філе

les œufs de poisson; mpl | roe | ікра
les écailles; fpl | scales | ваги
les crustacés; mpl | shellfish | молюски
la coquille | shell | панцир
d'eau douce | freshwater | прісноводний
de mer | saltwater | морсько водний
d'élevage | farmed | розводили
sauvage | wild | дикий
salé | salted | солений
fumé | smoked | копчений
découpé en filets | filleted | філетований
désarêté | deboned | без кісток

le cabillaud | cod | тріска
l'aiglefin; m | haddock | пікша
le hareng | herring | оселедець
la limande-sole | lemon sole | морський язик
le maquereau | mackerel | скумбрія
le saumon | salmon | лосось
la sardine | sardine | сардина
le bar | sea bass | морський окунь
la dorade | sea bream | лящ
la raie | skate | скат
la truite | trout | форель
le thon | tuna | тунець

la palourde | clam | молюск
le crabe | crab | краб
l'écrevisse; f | crayfish | рак
le homard | lobster | омар
la moule | mussel | мідія
la pieuvre | octopus | восьминіг
l'huître; f | oyster | устриця
la crevette | prawn | креветка
la coquille Saint-Jacques | scallop | морський гребінець
l'oursin; m | sea urchin | морський їжак
la crevette | shrimp | креветка
le calamar | squid | кальмар

la boucherie | butcher's | м'ясник
le boucher | butcher | м'ясник
la bouchère | butcher | м'ясник
la viande | meat | м'ясо
la viande rouge | red meat | червоне мясо
la viande blanche | white meat | біле м'ясо
la charcuterie | charcuterie | нарізки
le morceau (de viande) | cut (of meat) | шматок (м'яса)
le pâté | pâté | паштет; пиріг
le bœuf | beef | яловичина
le porc | pork | свинина
l'agneau; m | lamb | ягня
le gibier | game | дичина
la venaison | venison | оленина
le veau | veal | телятина
la volaille | poultry | птиця
le canard | duck | качка
l'oie; f | goose | гусак
la dinde | turkey | індичка
les abats; mpl | offal | нутрощі
cuit | cooked | смажений
cru | raw | сирий
élevé en plein air | free-range | з вільного вигулу
le bacon | bacon | жир
le steak haché | burger | гамбургер
le blanc de poulet | chicken breast | куряча грудка
la côtelette | chop | відбивна
le saucisson | (cured) sausage | ковбаса
le jambon | ham | шинка
le rôti | joint | суглоб
les lardons; mpl | lardons | бекон
la viande hachée | mince | м'ясний фарш
les côtes; fpl | ribs | ребра
les saucisses; fpl | sausages | сосиски
le steak | steak | стейк

la boulangerie-pâtisserie | bakery and patisserie | пекарня та кондитерська
le boulanger | baker | пекар
la boulangère | baker | пекар
le pain | bread | хліб
un pain | loaf | буханець хліба
une tranche | slice | шматок
la croûte | crust | кірка
la pâte | dough | тісто
la farine | flour | мука
sans gluten | gluten-free | не містить глютену
faire cuire au four | to bake | випікати
le croissant aux amandes | almond croissant | круасан з мигдалем
la baguette | baguette | багет
les petits pains; mpl | bread rolls | булочки
la brioche | brioche | бріош
le croissant | croissant | круасан
le feuilleté | Danish pastry | данська випічка
le beignet | doughnut | пончик
l'éclair; m | éclair | еклер
la tarte aux fruits | fruit tart | фруктовий торт
le macaron | macaroon | макарон
le millefeuille | mille-feuille | мільфей
le pain au chocolat | pain au chocolat | шоколадний хліб
les crêpes; mpl | pancakes | млинці
la gaufre | waffle | вафля
le pain complet | wholemeal bread | цільнозерновий хліб

la fromagerie | cheese shop | сирний магазин
le fromage | cheese | сир
le bleu | blue cheese | блакитний сир
le fromage à tartiner | cream cheese | вершковий сир
le brie | brie | брі
le camembert | Camembert | камамбер
le cantal | Cantal | кантал
le cheddar | cheddar | чеддер
le comté | Comté | конте
le fromage blanc maigre | cottage cheese | нежирний білий сир

l'emmental; m | Emmenthal | ементаль
l'époisses; f | Époisses | Епоіси
le fromage de chèvre | goat's cheese | козячий сир
le manchego | Manchego | Манчего
la mozzarella | mozzarella | моцарела
le parmesan | parmesan | пармезан
le reblochon | reblochon | реблошон
le roquefort | Roquefort | рокфор
le stilton | Stilton® | стилтон

les produits frais et laitiers | fresh and dairy products | свіжі і молочні продукти
le blanc d'œuf | egg white | білок
le jaune d'œuf | egg yolk | яєчний жовток
le lait entier | whole milk | цільне молока
le lait écrémé / demi-écrémé | skimmed / semiskimmed milk | знежирене / напівзнежирене молоко
le lait UHT | UHT milk | пастеризоване молоко
le lait de soja | soymilk | соєве молоко
la crème liquide / épaisse | single / double cream | рідкі / густі вершки
la crème aigre | sour cream | сметана
de poules élevées en plein air | free-range | з вільного вигулу
pasteurisé | pasteurized | пастеризований
non pasteurisé | unpasteurized | непастеризований
sans produits laitiers | dairy-free | немолочний
le beurre | butter | вершкове масло
la crème | cream | крем
l'œuf; m | egg | яйце
la margarine | margarine | маргарин
le lait | milk | молоко
le yaourt | yoghurt | йогурт

la pharmacie | pharmacy | аптека
le pharmacien | pharmacist | фармацевт
la pharmacienne | pharmacist | фармацевт
l'ordonnance; f | prescription | рецепт
l'antihistaminique; m | antihistamine | антигістамінний засіб
le décongestif | decongestant | протинабряковий засіб
l'analgésique; m | painkiller | болезаспокійливий засіб
le savon liquide mains | handwash | лосьйон для миття рук
le parfum | fragrance | парфуми
le rhume | cold | застуда
la diarrhée | diarrhoea | діарея
le rhume des foins | hay fever | сінна лихоманка
le mal de tête / ventre | headache / stomachache | головний біль / біль у животі
le mal de gorge | sore throat | біль у горлі

la crème antiseptique | antiseptic cream | антисептична мазь
le bandage | bandage | бинт
la capsule | capsule | капсула
le préservatif | condom | презерватив
le sirop pour la toux | cough mixture | сироп від кашлю
les gouttes; fpl | drops | краплі
le répulsif à insectes | insect repellent | засіб від комах
la pastille | lozenge | цукерка
le médicament | medicine | ліки
le pansement | plaster | пластир
la crème solaire | suntan lotion | сонцезахисний крем
le cachet | tablet; pill | таблетка

l'antitranspirant; m | antiperspirant | антиперспірант
l'après-shampooing; m | conditioner | кондиціонер
le bain de bouche | mouthwash | рідина для полоскання рота
le rasoir | razor | бритва
la serviette hygiénique | sanitary towel | гігієнічна прокладка
le shampooing | shampoo | шампунь

la mousse à raser | shaving foam | крем для гоління
le gel douche | shower gel | гель для душу
le savon | soap | мило
le tampon | tampon | тампон
la brosse à dents | toothbrush | зубна щітка
le dentifrice | toothpaste | зубна паста

le fard à joues | blusher | рум'янець
le peigne | comb | гребінець
l'eye-liner; m | eyeliner | підводка
le fard à paupières | eyeshadow | тіні для повік
le fond de teint | foundation | основа
la brosse à cheveux | hairbrush | щітка для волосся
la laque | hairspray | лак для волосся
le baume à lèvres | lip balm | бальзам для губ
le rouge à lèvres | lipstick | помада
le mascara | mascara | туш
le vernis à ongles | nail varnish | лак для нігтів
la poudre | powder | пудра; сніжний порошок

pour bébé | baby goods | для дитини
les coliques; fpl | colic | кольки
la couche jetable / lavable | disposable / reusable nappy | одноразовий підгузник / підгузник, який можна прати
le sac hygiénique | nappy sack | санітарна сумка
l'érythème fessier; m | nappy rash | попрілості
le gel de dentition | teething gel | гель для прорізування зубів
allaiter | to breast-feed | грудне вигодовування
faire ses dents | to be teething | прорізування зубів

la grenouillère | babygro®; sleepsuit | комбінезон
le bavoir | bib | нагрудник
les chaussons de bébé; mpl | bootees | дитячі пінетки
les moufles; fpl | mittens | рукавиці
la combinaison rembourrée | snowsuit | сніговий костюм
le body | vest | тіло

les aliments pour bébés; mpl | baby food | дитяче харчування
la crème hydratante pour bébé | baby lotion | дитячий лосьйон
le biberon | baby's bottle | дитяча пляшка
le sac à langer | changing bag | сумка для підгузників
le coton-tige | cotton bud | ватний тампон
le coton hydrophile | cotton wool | вата
le lait maternisé | formula milk | молочна формула
la couche | nappy | підгузник
la crème pour le change | nappy cream | крем під підгузник
la biscotte | rusk | сухарі
le talc | talcum powder | пудра для тіла
les lingettes humides; fpl | wet wipes | вологі серветки

la baignoire pour bébé | baby bath | дитяча ванночка
le siège bébé | baby seat | дитяче крісло
le trotteur | baby walker | дитячі ходунки
le lit d'enfant | cot | ліжечко
la tétine | dummy | пустушка
la chaise haute | highchair | високий стілець
le mobile | mobile | мобільний
le couffin | Moses basket | кошик Мойсея
le landau | pram | коляска
la poussette | pushchair | коляска
l'anneau de dentition; m | teething ring | зубне кільце
le lit-parapluie | travel cot | дитяче ліжечко

le marchand de journaux | newsagent | газетний кіоск
le kiosque | kiosk | кіоск
le (bureau de) tabac | tobacconist | тютюновий магазин
le vendeur | vendor | продавець
la vendeuse | vendor | продавець
le journal grand format | broadsheet | газета великого формату

le tabloïd | tabloid | таблоїд
le carnet | book of tickets | записник
les fournitures de bureau; fpl | stationery | письмове приладдя
quotidien | daily | щодня
hebdomadaire | weekly | щотижня

le livre | book | книга
le cigare | cigar | сигара
la cigarette | cigarette | сигарета
la bande dessinée | comic book | комікс
la confiserie | confectionery | кондитерські вироби
la cigarette électronique | e-cigarette | електронна сигарета
l'enveloppe; f | envelope | конверт
la carte de vœux | greetings card | вітальна листівка
le magazine | magazine | журнал
la carte | map | карта
le journal | newspaper | газета
le carnet | notebook | зошит
le stylo | pen | кулькова ручка
le crayon | pencil | олівець
la carte postale | postcard | листівка
le livre de casse-têtes | puzzle book | книга-головоломка
la carte à gratter | scratch card | скретч-картка
le timbre | stamp | штамп

le grand magasin | department store | універмаг
la marque | brand | марка
le comptoir | counter | прилавок
le rayon | department | відділ
l'étage; m | floor | поверх
l'escalator; m | escalator | ескалатор
l'ascenseur; m | lift | ліфт
les toilettes; fpl | toilets | туалет
les soldes; fpl | sale | продаж
les vêtements pour femmes; mpl | womenswear | жіночий одяг

les vêtements pour hommes; mpl | menswear | чоловічий одяг
les vêtements de sport; mpl | sportswear | спортивний одяг
les maillots de bain; mpl | swimwear | купальники
les accessoires de mode; mpl | accessories | модні аксесуари
les produits de beauté; mpl | cosmetics | косметика
la mode | fashion | мода
l'alimentation; f | food and drink | їжа та напої
les chaussures; fpl | footwear | взуття
les meubles; mpl | furniture | меблі
les ustensiles de cuisine; mpl | kitchenware | кухонна техніка
la maroquinerie | leather goods | вироби зі шкіри
l'éclairage; m | lighting | освітлення
la lingerie | lingerie | жіноча білизна
les tissus d'ameublement; mpl | soft furnishings | домашній текстиль
les jouets; mpl | toys | іграшки

les vêtements et les chaussures | clothing and footwear | одяг і взуття
les vêtements; mpl | clothes; clothing | одяг
les chaussures; fpl | shoes; footwear | взуття
